lat_grid,lon_grid,customers,churned_customers,avg_cltv,revenue,churn_rate_pct,revenue_at_risk
33.01,-117.2,5,0,4745.6,14247.46,0.0,0.0
33.02,-117.27,4,0,4714.0,22786.5,0.0,0.0
33.02,-117.12,5,1,3556.4,9901.08,20.0,60.93
33.04,-116.83,4,0,4189.5,17799.26,0.0,0.0
33.04,-115.61,4,1,4135.25,11800.84,25.0,111.75
33.04,-115.19,5,1,4019.0,24456.55,20.0,9310.25
33.05,-117.26,4,1,3394.75,8388.25,25.0,261.81
33.08,-117.13,4,1,5059.75,13152.81,25.0,73.79
33.08,-117.03,5,0,5139.8,11533.8,0.0,0.0
33.1,-117.26,4,1,3834.75,5911.53,25.0,36.55
33.12,-117.17,4,1,4981.25,11675.5,25.0,1185.05
33.14,-116.97,38,15,4297.0,121684.46,39.47,38796.1
33.14,-115.5,5,1,4831.8,25101.07,20.0,269.81
33.15,-117.31,4,1,4782.0,10375.06,25.0,91.38
33.16,-117.17,4,0,3997.5,13344.27,0.0,0.0
33.17,-117.24,4,0,4887.25,8321.05,0.0,0.0
33.17,-116.74,5,0,4132.2,20652.32,0.0,0.0
33.19,-117.29,3,0,4782.0,10006.78,0.0,0.0
33.2,-116.19,3,0,3535.33,6387.59,0.0,0.0
33.22,-117.12,4,0,3652.0,9528.73,0.0,0.0
33.22,-116.54,4,0,4884.0,23849.28,0.0,0.0
33.23,-117.2,5,1,4123.2,9407.87,20.0,25.25
33.25,-117.29,3,1,4390.0,10699.64,33.33,258.69
33.25,-116.99,3,0,3535.33,3531.15,0.0,0.0
33.28,-115.96,5,0,3904.4,10890.0,0.0,0.0
33.29,-117.2,4,1,3788.75,6664.66,25.0,810.7
33.31,-116.94,3,1,3354.33,5461.08,33.33,3821.22
33.31,-116.82,3,1,5364.33,14296.93,33.33,30.5
33.32,-116.63,5,0,3997.2,15279.29,0.0,0.0
33.32,-114.76,5,0,5646.0,26295.98,0.0,0.0
33.35,-117.42,5,0,4684.0,10346.65,0.0,0.0
33.35,-115.6,3,0,5846.67,12041.67,0.0,0.0
33.36,-117.3,43,26,4531.28,93409.28,60.47,34691.78
33.38,-117.07,4,1,5805.5,14726.73,25.0,128.82
33.39,-118.42,5,2,3629.4,2120.58,40.0,1587.36
33.43,-117.61,4,0,5434.75,13746.01,0.0,0.0
33.46,-117.67,4,1,4669.0,20895.37,25.0,926.88
33.47,-117.58,4,0,4807.25,10427.33,0.0,0.0
33.48,-117.71,4,2,4410.0,694.86,50.0,182.21
33.48,-117.22,4,2,4504.0,21964.4,50.0,5995.68
33.48,-116.83,4,1,4501.0,10033.52,25.0,595.48
33.51,-117.03,30,18,4353.8,79604.44,60.0,34069.04
33.52,-117.6,4,0,4095.25,8930.29,0.0,0.0
33.53,-117.7,4,0,3819.25,9258.79,0.0,0.0
33.53,-116.67,4,2,4765.5,12629.07,50.0,5383.3
33.54,-117.11,4,2,4337.25,17699.43,50.0,4037.69
33.54,-116.29,3,2,4558.67,6572.46,66.67,6439.25
33.54,-116.12,4,1,4099.25,9232.19,25.0,130.39
33.54,-115.99,5,0,4581.0,23249.41,0.0,0.0
33.55,-117.33,4,0,4899.25,25719.72,0.0,0.0
33.57,-117.77,4,1,3491.5,12527.58,25.0,4996.18
33.57,-117.73,4,0,5056.25,26807.83,0.0,0.0
33.57,-117.64,4,1,4318.5,11547.11,25.0,363.93
33.58,-117.15,4,2,4025.5,11110.38,50.0,7152.81
33.6,-117.9,4,2,5953.0,18701.45,50.0,10903.16
33.6,-117.86,4,3,3673.5,7462.65,75.0,1675.95
33.6,-117.82,4,1,4728.0,22409.55,25.0,9441.18
33.61,-117.89,4,1,5371.75,20900.73,25.0,899.72
33.61,-117.72,4,0,4412.75,9376.75,0.0,0.0
33.61,-117.67,4,0,5062.75,25000.84,0.0,0.0
33.61,-117.64,4,1,4395.5,14302.94,25.0,72.39
33.62,-117.93,4,1,3125.25,1427.42,25.0,118.15
33.62,-117.61,4,1,5288.75,17971.94,25.0,1672.17
33.62,-117.25,4,0,5055.25,20900.17,0.0,0.0
33.63,-117.87,4,1,5502.0,6282.62,25.0,341.15
33.63,-117.57,4,2,3958.25,7153.76,50.0,5385.35
33.64,-117.81,4,1,3664.0,5801.16,25.0,115.52
33.64,-117.68,4,2,3720.5,4583.73,50.0,2307.85
33.64,-116.87,4,1,4431.75,17334.16,25.0,2837.0
33.64,-116.56,4,0,3944.75,12391.03,0.0,0.0
33.65,-117.92,4,2,5051.75,7910.5,50.0,3006.7
33.65,-117.18,4,0,5111.25,13275.36,0.0,0.0
33.66,-117.39,4,1,5127.25,6040.72,25.0,347.25
33.66,-117.04,4,0,4059.0,14311.49,0.0,0.0
33.67,-117.97,4,1,4215.0,8321.6,25.0,597.0
33.67,-117.73,4,0,5185.75,14872.52,0.0,0.0
33.67,-114.72,4,0,3791.5,7148.88,0.0,0.0
33.68,-118.02,4,2,4197.5,14764.47,50.0,6737.95
33.68,-117.91,4,1,5018.25,21358.95,25.0,3418.1
33.68,-117.83,4,0,3731.75,13042.87,0.0,0.0
33.68,-116.17,4,0,4873.0,10923.14,0.0,0.0
33.69,-117.79,4,0,4774.75,6913.29,0.0,0.0
33.69,-116.41,5,0,4095.4,16035.01,0.0,0.0
33.7,-117.82,4,1,4191.0,11439.51,25.0,222.39
33.7,-117.68,4,2,5150.5,12304.66,50.0,2370.33
33.7,-117.25,4,1,4362.5,10514.0,25.0,4285.06
33.7,-116.31,5,1,4366.0,9845.78,20.0,2031.17
33.71,-117.95,4,0,4940.0,22890.3,0.0,0.0
33.71,-117.87,4,2,4487.5,9778.16,50.0,8345.9
33.71,-117.32,4,1,5156.25,12759.59,25.0,100.11
33.71,-117.2,4,2,3962.25,6276.86,50.0,5229.73
33.71,-116.24,4,2,3889.25,9975.35,50.0,3739.08
33.72,-118.07,5,2,2865.2,6906.23,40.0,439.87
33.72,-118.04,4,0,4989.0,16574.4,0.0,0.0
33.72,-118.01,4,1,4758.5,15689.15,25.0,7767.97
33.72,-117.91,4,0,5352.75,11553.88,0.0,0.0
33.72,-117.75,4,2,4986.0,10928.1,50.0,4681.22
33.72,-117.73,4,1,4733.25,21038.47,25.0,6002.35
33.73,-118.09,5,0,4705.4,20197.89,0.0,0.0
33.73,-117.04,4,0,4814.75,13462.24,0.0,0.0
33.74,-118.31,5,1,4894.4,24894.21,20.0,382.77
33.74,-118.28,5,1,4711.2,25014.85,20.0,948.77
33.74,-117.99,4,1,4655.25,18070.87,25.0,559.67
33.74,-117.82,4,1,4129.0,11770.77,25.0,69.99
33.74,-117.79,4,0,4770.5,18811.88,0.0,0.0
33.74,-117.17,4,0,4816.25,16448.67,0.0,0.0
33.74,-116.97,4,1,4000.75,8573.85,25.0,251.88
33.75,-118.37,5,0,3675.0,17616.95,0.0,0.0
33.75,-118.21,5,2,4589.8,19131.29,40.0,7867.25
33.75,-118.07,5,2,4370.2,16886.91,40.0,2838.55
33.75,-117.99,4,0,4825.75,14575.43,0.0,0.0
33.75,-117.91,4,0,4844.25,9923.65,0.0,0.0
33.75,-117.86,4,1,4069.0,17772.91,25.0,3894.75
33.75,-116.51,5,1,4197.4,12628.11,20.0,843.0
33.75,-116.23,5,0,4611.2,24073.39,0.0,0.0
33.76,-118.13,5,0,4531.4,6115.48,0.0,0.0
33.76,-117.93,4,1,4661.25,15685.85,25.0,3258.69
33.76,-117.49,4,1,4487.5,5922.72,25.0,1250.28
33.76,-117.12,4,2,4821.25,1400.54,50.0,289.85
33.76,-116.74,4,1,4889.75,10369.95,25.0,719.57
33.76,-116.43,5,2,4360.0,14294.74,40.0,190.39
33.76,-116.32,3,2,4304.33,6158.78,66.67,4001.67
33.77,-118.14,5,1,4799.6,18547.72,20.0,734.36
33.77,-117.97,4,1,4752.0,23054.5,25.0,405.84
33.77,-117.88,4,1,4136.75,8418.47,25.0,1251.25
33.77,-117.79,4,2,3939.25,22882.52,50.0,9854.93
33.78,-118.26,5,0,4387.8,23415.99,0.0,0.0
33.78,-118.2,5,1,4633.4,20928.02,20.0,2784.16
33.78,-118.15,5,2,3242.2,10597.15,40.0,870.24
33.78,-118.12,5,1,4982.8,17355.36,20.0,100.03
33.78,-118.03,4,1,4142.75,3961.95,25.0,128.33
33.78,-117.84,4,0,4987.0,7905.32,0.0,0.0
33.78,-117.64,4,2,4575.5,10801.05,50.0,3576.72
33.79,-118.4,5,0,4530.8,10995.19,0.0,0.0
33.79,-118.32,5,2,5178.6,15900.86,40.0,1863.84
33.79,-118.07,5,1,3983.8,15896.67,20.0,85.73
33.79,-117.98,4,1,4055.75,14337.47,25.0,288.9
33.79,-117.93,4,0,5056.25,22131.69,0.0,0.0
33.79,-117.88,4,1,4582.25,8087.35,25.0,1374.89
33.79,-117.79,4,1,4479.75,6728.29,25.0,108.95
33.79,-117.32,4,1,3666.75,7467.99,25.0,123.15
33.8,-118.3,5,2,3967.8,14753.57,40.0,1404.03
33.8,-118.18,5,0,5493.6,20919.18,0.0,0.0
33.8,-118.12,5,0,3530.0,15679.51,0.0,0.0
33.8,-118.0,5,1,4074.2,12752.31,20.0,551.95
33.8,-116.92,4,1,4584.75,10585.57,25.0,572.3
33.81,-118.35,5,1,4960.0,20763.6,20.0,8694.12
33.81,-117.92,4,0,4246.25,9146.02,0.0,0.0
33.81,-117.02,4,1,4791.25,12944.39,25.0,3454.45
33.82,-118.26,5,2,4283.4,14278.28,40.0,1406.62
33.82,-118.22,5,3,4093.0,10177.6,60.0,3027.74
33.82,-118.11,5,2,4815.2,18234.95,40.0,5895.17
33.82,-118.04,5,0,5063.2,14640.78,0.0,0.0
33.82,-117.97,4,1,4432.5,7342.93,25.0,1012.8
33.82,-117.82,4,0,4734.5,15605.47,0.0,0.0
33.82,-117.81,4,0,2956.75,5546.15,0.0,0.0
33.82,-117.6,4,1,4664.75,20910.31,25.0,6818.54
33.83,-118.38,5,1,4199.2,10509.48,20.0,196.15
33.83,-118.31,5,2,4212.6,11165.23,40.0,8091.03
33.83,-118.29,5,2,5011.4,9393.98,40.0,354.02
33.83,-118.18,5,2,4048.0,10138.4,40.0,7037.79
33.83,-118.07,5,1,5151.6,20715.68,20.0,7699.72
33.83,-117.91,4,2,4439.75,4587.78,50.0,763.41
33.83,-117.85,4,1,5086.5,10732.48,25.0,103.92
33.83,-117.51,4,0,4451.0,13184.61,0.0,0.0
33.83,-117.2,4,1,3666.5,4391.28,25.0,2118.89
33.83,-117.1,4,1,4707.0,16333.21,25.0,557.88
33.83,-116.47,5,0,3864.6,27788.54,0.0,0.0
33.83,-116.25,5,2,4075.6,12577.96,40.0,7301.75
33.84,-118.35,5,1,5501.4,19273.22,20.0,8145.85
33.84,-118.15,7,6,3181.57,17533.02,85.71,12657.16
33.84,-118.08,5,0,4743.8,22058.43,0.0,0.0
33.84,-117.95,4,0,4042.25,11754.65,0.0,0.0
33.84,-117.87,4,1,4353.75,16984.75,25.0,79.43
33.84,-116.66,4,1,4384.25,5277.7,25.0,1232.14
33.85,-118.11,5,2,4696.2,16920.1,40.0,8332.81
33.85,-118.04,5,3,4778.4,24177.38,60.0,5017.03
33.85,-118.01,5,2,4393.6,15513.5,40.0,6010.02
33.85,-117.79,4,2,4028.75,10717.53,50.0,643.56
33.85,-117.73,4,1,2944.5,6380.36,25.0,1093.14
33.85,-116.38,5,1,4629.6,2375.07,20.0,101.4
33.86,-118.25,5,0,4399.6,6156.16,0.0,0.0
33.86,-118.18,5,1,5171.6,18112.46,20.0,233.48
33.87,-118.4,5,3,4311.8,5655.55,60.0,877.8
33.87,-118.37,5,0,4745.6,13354.14,0.0,0.0
33.87,-118.33,5,2,3345.6,17399.87,40.0,8249.77
33.87,-118.08,5,0,4982.4,29776.98,0.0,0.0
33.87,-118.07,5,1,3946.0,6270.77,20.0,2073.45
33.87,-117.99,5,2,4536.4,10344.74,40.0,1713.2
33.87,-117.93,4,0,4945.0,7648.06,0.0,0.0
33.88,-118.28,5,1,4581.0,10230.38,20.0,99.99
33.88,-118.23,5,0,4254.2,18818.77,0.0,0.0
33.88,-117.96,4,1,4718.75,26285.27,25.0,9202.19
33.88,-117.9,4,1,4759.75,22424.89,25.0,10351.16
33.88,-117.85,4,1,5237.25,24916.23,25.0,106.84
33.88,-117.73,4,2,4568.0,15523.81,50.0,8651.6
33.88,-117.22,4,1,4672.5,11577.95,25.0,209.37
33.89,-118.4,5,0,4103.0,4242.92,0.0,0.0
33.89,-118.35,5,2,4361.6,11240.74,40.0,1895.4
33.89,-118.3,5,0,3438.8,14460.16,0.0,0.0
33.89,-118.21,5,2,5160.8,7927.75,40.0,585.63
33.89,-118.13,5,2,4850.2,13276.02,40.0,5256.39
33.89,-117.53,4,0,4067.5,8906.54,0.0,0.0
33.89,-117.46,4,2,4501.25,5745.55,50.0,984.18
33.89,-117.32,4,1,5175.5,14826.1,25.0,1548.33
33.89,-117.28,4,2,5051.75,13097.17,50.0,8712.93
33.89,-115.26,5,2,4668.2,15707.7,40.0,3737.87
33.9,-118.32,5,0,4293.4,14812.67,0.0,0.0
33.9,-118.16,5,1,4643.8,20085.71,20.0,127.5
33.9,-118.01,5,0,3671.4,12774.78,0.0,0.0
33.9,-117.91,4,0,4963.5,12839.75,0.0,0.0
33.9,-117.79,4,1,5328.5,22224.24,25.0,339.56
33.91,-118.35,5,1,4376.6,18670.29,20.0,81.9
33.91,-118.24,5,0,4555.8,16396.26,0.0,0.0
33.91,-118.08,5,0,4562.0,16280.54,0.0,0.0
33.91,-117.4,4,0,4326.75,19837.55,0.0,0.0
33.91,-117.11,4,2,4455.25,19439.86,50.0,4071.14
33.91,-116.57,4,2,4246.75,10987.9,50.0,6237.88
33.92,-118.4,5,1,4708.6,17980.22,20.0,684.93
33.92,-118.27,5,1,3897.6,17014.31,20.0,1485.8
33.92,-118.2,5,2,4111.8,11120.36,40.0,996.53
33.92,-118.14,5,1,3559.4,10862.8,20.0,368.06
33.92,-117.79,4,2,3488.5,11161.1,50.0,9074.94
33.92,-117.62,4,0,4398.0,19050.05,0.0,0.0
33.92,-117.49,4,1,4252.25,14904.62,25.0,146.95
33.92,-117.24,4,0,4228.0,16124.73,0.0,0.0
33.93,-118.25,5,3,4217.6,14548.88,60.0,7799.49
33.93,-118.06,5,1,4659.0,19107.79,20.0,3222.68
33.93,-118.01,5,0,4213.0,19387.36,0.0,0.0
33.93,-117.86,4,2,4622.5,708.35,50.0,143.29
33.93,-117.56,4,1,4971.25,9820.3,25.0,1148.63
33.93,-117.36,4,2,4684.25,12156.49,50.0,3983.24
33.93,-116.76,5,1,4431.0,18472.41,20.0,106.85
33.94,-118.36,5,1,4790.2,13456.3,20.0,1587.23
33.94,-118.33,5,2,5103.6,9501.77,40.0,4574.57
33.94,-118.19,5,0,4278.8,34081.85,0.0,0.0
33.94,-118.13,5,1,3612.8,25181.91,20.0,6045.77
33.94,-117.95,5,2,5030.6,7926.81,40.0,367.27
33.94,-117.73,5,0,5488.2,24937.87,0.0,0.0
33.94,-116.85,5,1,3817.2,17745.5,20.0,2152.53
33.95,-118.44,5,0,4488.0,19276.14,0.0,0.0
33.95,-118.4,5,1,4671.2,11231.06,20.0,34.7
33.95,-118.29,5,1,4458.0,26937.02,20.0,176.56
33.95,-118.25,4,0,3627.0,10993.22,0.0,0.0
33.95,-117.99,5,1,4660.6,27029.71,20.0,3923.45
33.95,-116.98,5,1,3841.8,24682.58,20.0,4041.42
33.95,-116.52,4,0,3414.5,13518.07,0.0,0.0
33.96,-118.36,5,1,4509.0,13079.83,20.0,285.15
33.96,-118.33,5,0,5474.2,23141.76,0.0,0.0
33.96,-118.31,5,1,4847.4,12344.23,20.0,307.64
33.96,-118.27,5,1,4625.2,7515.26,20.0,129.09
33.96,-118.12,5,1,5125.8,7092.62,20.0,911.85
33.96,-118.03,5,1,5402.4,18444.6,20.0,6344.68
33.97,-118.25,4,1,4036.0,10311.77,25.0,784.63
33.97,-118.17,5,0,4357.8,19280.24,0.0,0.0
33.97,-118.02,5,2,3855.0,17686.88,40.0,3556.9
33.97,-117.26,4,2,4673.0,17291.24,50.0,1352.09
33.97,-116.65,5,2,4604.2,28579.05,40.0,17607.51
33.98,-118.45,5,3,4251.6,13932.68,60.0,1786.05
33.98,-118.36,5,1,5154.2,13842.89,20.0,588.48
33.98,-118.22,5,3,4729.0,8824.98,60.0,2145.88
33.98,-118.07,5,1,5640.0,23360.37,20.0,1309.45
33.98,-117.9,5,3,4471.4,14577.82,60.0,6104.52
33.98,-117.32,4,0,4123.75,13245.74,0.0,0.0
33.98,-117.06,4,1,4632.25,7518.24,25.0,90.6
33.99,-118.48,5,1,5544.4,38683.94,20.0,8533.01
33.99,-118.4,5,2,4050.6,3306.86,40.0,969.71
33.99,-118.37,5,3,5331.2,7331.92,60.0,2094.5
33.99,-118.33,5,1,3282.2,9133.99,20.0,1104.2
33.99,-118.19,5,0,4794.4,15379.95,0.0,0.0
33.99,-118.15,5,0,3872.6,14633.99,0.0,0.0
33.99,-118.09,5,2,4042.6,16354.12,40.0,3508.12
33.99,-117.81,5,0,4026.0,13386.47,0.0,0.0
33.99,-117.66,5,2,4486.8,17614.75,40.0,10255.81
33.99,-117.37,4,0,4439.5,4872.14,0.0,0.0
34.0,-118.43,5,2,4546.2,13576.0,40.0,1936.06
34.0,-118.31,5,3,4175.6,3311.92,60.0,502.88
34.0,-118.29,5,2,4188.6,6111.45,40.0,3501.9
34.0,-118.22,5,2,4157.6,26380.85,40.0,14469.71
34.0,-117.97,5,1,5044.0,14649.86,20.0,247.05
34.0,-117.54,5,1,3828.0,10848.49,20.0,1435.03
34.0,-117.45,4,2,5086.5,3026.55,50.0,213.06
34.0,-117.14,4,2,3864.25,12956.61,50.0,6014.43
34.01,-118.48,5,2,4941.2,15268.36,40.0,2516.09
34.01,-118.35,5,0,3911.0,12942.6,0.0,0.0
34.01,-118.26,5,1,3792.0,20619.85,20.0,305.1
34.01,-118.03,5,0,4866.6,22949.85,0.0,0.0
34.02,-118.49,5,0,4958.6,19525.23,0.0,0.0
34.02,-118.39,5,1,3079.6,5315.9,20.0,155.68
34.02,-118.2,5,2,4445.0,16133.89,40.0,5166.9
34.02,-118.16,5,1,4977.4,12819.84,20.0,59.65
34.02,-118.11,5,1,4273.6,20280.48,20.0,5880.09
34.02,-117.9,5,1,3467.4,11438.46,20.0,482.41
34.02,-117.85,5,2,4424.0,6605.88,40.0,567.24
34.03,-118.49,5,2,4524.0,15434.17,40.0,8808.11
34.03,-118.47,5,0,4789.4,31048.3,0.0,0.0
34.03,-118.4,5,0,4735.4,12974.96,0.0,0.0
34.03,-118.35,4,1,4234.25,3693.68,25.0,295.25
34.03,-118.32,5,0,4407.2,18824.83,0.0,0.0
34.03,-118.29,5,2,4278.6,13417.16,40.0,6482.62
34.03,-118.24,5,0,5106.6,24715.63,0.0,0.0
34.03,-117.94,4,3,5654.5,571.57,75.0,404.37
34.03,-117.31,4,0,3920.5,18227.95,0.0,0.0
34.03,-117.27,4,1,4425.75,12800.22,25.0,44.92
34.04,-119.8,4,1,5099.5,9710.43,25.0,93.83
34.04,-118.71,5,1,3714.4,18245.2,20.0,258.87
34.04,-118.5,5,1,4707.8,19185.7,20.0,4126.2
34.04,-118.42,5,0,4490.6,27722.21,0.0,0.0
34.04,-118.27,5,1,4805.0,17328.41,20.0,7208.47
34.04,-118.25,4,1,4772.25,15701.65,25.0,4763.78
34.04,-118.24,5,2,4107.6,14985.91,40.0,6054.4
34.04,-118.19,5,2,5361.0,21994.87,40.0,1096.88
34.04,-117.99,5,3,4273.0,11599.37,60.0,3022.99
34.04,-117.76,5,1,4346.8,11112.76,20.0,24.8
34.04,-117.59,5,1,5118.6,9136.75,20.0,57.85
34.05,-118.45,5,1,4777.8,22840.67,20.0,3669.72
34.05,-118.38,5,0,4228.2,9250.02,0.0,0.0
34.05,-118.34,4,0,4200.75,15745.82,0.0,0.0
34.05,-118.29,5,1,4006.0,5476.98,20.0,917.7
34.05,-118.26,9,3,3928.78,28479.4,33.33,2619.27
34.05,-118.21,5,1,5336.6,26931.13,20.0,5001.08
34.05,-118.15,5,1,4462.0,23808.97,20.0,5630.03
34.05,-118.12,5,0,4642.4,35032.37,0.0,0.0
34.05,-118.05,5,1,4142.4,20236.0,20.0,1428.82
34.05,-117.47,4,2,3956.25,7995.38,50.0,863.13
34.05,-117.26,4,0,3742.0,9753.3,0.0,0.0
34.05,-117.01,4,1,5012.5,29765.8,25.0,3833.65
34.06,-118.41,5,0,4031.6,19772.52,0.0,0.0
34.06,-118.4,5,0,5366.6,6458.55,0.0,0.0
34.06,-118.38,5,1,4659.4,10230.12,20.0,1102.14
34.06,-118.32,4,2,3841.5,7117.33,50.0,5473.7
34.06,-118.31,4,2,4162.0,12134.92,50.0,5932.59
34.06,-118.28,5,1,4255.2,16350.7,20.0,116.48
34.06,-117.89,5,1,4510.0,24047.7,20.0,1796.96
34.06,-117.67,5,1,4078.6,21976.95,20.0,2656.55
34.06,-117.39,3,1,5275.67,7609.51,33.33,753.35
34.06,-117.17,3,1,5231.0,3376.76,33.33,100.4
34.07,-118.83,5,1,4783.8,13268.81,20.0,51.95
34.07,-118.44,5,3,4010.0,6104.89,60.0,2818.09
34.07,-118.37,5,2,5269.6,13693.87,40.0,2557.03
34.07,-118.35,5,1,4307.8,4715.02,20.0,990.41
34.07,-118.24,5,1,4662.2,9694.01,20.0,480.3
34.07,-118.15,5,2,3981.8,5444.7,40.0,354.42
34.07,-118.08,5,3,4298.0,17641.68,60.0,9290.02
34.07,-118.01,5,3,4855.8,12523.32,60.0,11022.59
34.07,-117.94,5,1,4091.0,15639.75,20.0,1015.34
34.07,-117.79,5,2,4707.2,23779.19,40.0,7417.7
34.07,-117.7,5,1,5016.2,20278.91,20.0,91.22
34.07,-117.61,5,2,3458.4,5347.36,40.0,2522.9
34.07,-116.9,4,0,5343.0,16564.8,0.0,0.0
34.08,-118.55,5,2,4056.2,13773.19,40.0,2309.68
34.08,-118.31,5,2,4238.4,9494.04,40.0,291.12
34.08,-118.26,5,1,3687.2,8230.18,20.0,3679.78
34.08,-118.18,5,1,4460.6,19597.35,20.0,1782.45
34.08,-118.05,5,3,4449.2,14750.03,60.0,2934.61
34.08,-117.89,5,1,4643.4,14921.39,20.0,59.9
34.08,-117.85,5,0,4670.2,21499.52,0.0,0.0
34.08,-117.74,5,2,4871.8,18154.72,40.0,8721.78
34.08,-117.26,4,2,3592.25,13222.41,50.0,6472.66
34.09,-118.49,5,2,4579.2,12495.26,40.0,813.69
34.09,-118.38,5,1,4413.2,20321.12,20.0,1132.09
34.09,-118.33,5,1,4848.2,26375.4,20.0,7015.27
34.09,-118.29,5,2,3339.6,4017.48,40.0,1667.6
34.09,-118.21,5,1,4631.6,14929.7,20.0,94.52
34.09,-118.13,4,1,3608.5,3847.91,25.0,458.55
34.09,-118.1,5,1,4370.4,7521.75,20.0,1132.34
34.09,-117.46,4,0,4476.25,13763.6,0.0,0.0
