state,city,customers,churned_customers,avg_cltv,total_revenue,avg_monthly_charge,avg_satisfaction,churn_rate_pct,revenue_at_risk
California,Aromas,4,1,4998.0,17339.16,77.69,3.5,25.0,663.55
California,Arroyo Grande,4,0,4220.0,5087.28,50.09,3.25,0.0,0.0
California,Artesia,5,0,4982.4,29776.98,83.68,3.8,0.0,0.0
California,Arvin,4,0,5062.75,13650.62,40.86,3.75,0.0,0.0
California,Atascadero,4,0,4313.75,10912.99,63.49,4.25,0.0,0.0
California,Atherton,4,2,4339.25,11851.42,53.52,3.0,50.0,4494.17
California,Atwater,4,2,5017.25,4547.89,63.29,2.5,50.0,904.47
California,Auberry,4,0,3886.75,3845.47,54.8,3.5,0.0,0.0
California,Auburn,8,2,4666.12,28342.07,62.37,3.38,25.0,5357.08
California,Avalon,5,2,3629.4,2120.58,55.56,2.4,40.0,1587.36
California,Avenal,4,3,4104.5,14107.16,66.71,2.0,75.0,7165.42
California,Avery,4,1,3874.25,4572.69,32.26,3.25,25.0,259.8
California,Avila Beach,4,0,4653.0,12089.31,84.86,3.75,0.0,0.0
California,Azusa,5,1,5277.4,27059.79,69.58,2.8,20.0,5716.42
California,Badger,4,1,4092.0,9742.38,43.55,3.0,25.0,67.86
California,Baker,4,1,3517.5,3305.82,37.99,3.0,25.0,137.85
California,Bakersfield,39,2,4609.41,122554.11,58.44,3.74,5.13,137.56
California,Baldwin Park,5,0,4218.6,34994.71,95.47,3.6,0.0,0.0
California,Ballico,4,1,3364.0,8113.7,53.49,3.0,25.0,679.97
California,Bangor,4,2,3078.25,9496.26,77.09,3.0,50.0,6393.82
California,Banning,5,1,3817.2,17745.5,70.76,3.0,20.0,2152.53
California,Barstow,3,0,5464.67,22667.44,86.22,3.33,0.0,0.0
California,Bass Lake,4,1,5218.5,12151.21,58.95,3.25,25.0,86.24
California,Bayside,4,2,4099.25,13939.44,83.18,3.25,50.0,4473.34
California,Beale Afb,4,1,3762.0,11924.22,62.99,3.5,25.0,856.35
California,Beaumont,5,1,3841.8,24682.58,78.7,3.4,20.0,4041.42
California,Bell,5,0,4357.8,19280.24,61.14,3.8,0.0,0.0
California,Bella Vista,4,1,4368.0,3734.81,49.81,3.0,25.0,719.1
California,Bellflower,5,2,4850.2,13276.02,37.87,3.6,40.0,5256.39
California,Belmont,4,1,4765.75,14760.7,63.54,3.0,25.0,3027.4
California,Belvedere Tiburon,4,0,3832.0,9820.58,37.22,4.0,0.0,0.0
California,Ben Lomond,4,1,4549.25,16050.69,52.71,3.5,25.0,10507.21
California,Benicia,4,0,4700.0,9359.6,62.75,3.75,0.0,0.0
California,Benton,4,1,4872.75,16619.22,93.98,4.0,25.0,102.61
California,Berkeley,32,9,4527.31,81479.6,66.71,3.22,28.12,8517.45
California,Berry Creek,4,0,4721.0,20045.67,61.72,4.0,0.0,0.0
California,Bethel Island,4,0,4366.0,16808.56,77.11,3.75,0.0,0.0
California,Beverly Hills,15,1,4669.67,37148.16,61.24,3.87,6.67,1102.14
California,Bieber,4,1,5613.25,22505.13,82.82,4.0,25.0,2219.51
California,Big Bar,4,0,4931.75,19823.13,70.54,4.0,0.0,0.0
California,Big Bear City,3,1,4361.0,2311.86,41.52,2.67,33.33,323.81
California,Big Bear Lake,4,0,4089.75,16266.43,72.03,3.5,0.0,0.0
California,Big Bend,4,2,4484.75,13829.0,65.94,3.5,50.0,7266.82
California,Big Creek,4,1,4282.25,9721.47,56.71,2.5,25.0,786.49
California,Big Oak Flat,4,2,4665.75,8999.82,70.59,2.25,50.0,3111.43
California,Big Pine,4,1,5343.25,28103.55,87.3,2.5,25.0,10718.96
California,Biggs,4,0,4474.0,10340.26,52.25,4.0,0.0,0.0
California,Biola,4,3,3480.25,8361.88,86.52,1.75,75.0,7812.1
California,Birds Landing,4,1,3474.0,13476.62,81.04,3.25,25.0,4244.85
California,Bishop,4,0,4491.25,13559.13,62.0,3.75,0.0,0.0
California,Blairsden Graeagle,4,1,3398.0,5383.32,32.39,3.5,25.0,2300.76
California,Blocksburg,4,0,3682.75,7273.66,53.85,3.5,0.0,0.0
California,Bloomington,3,1,5275.67,7609.51,73.53,3.0,33.33,753.35
California,Blue Lake,4,2,4959.0,9658.38,65.92,3.0,50.0,8834.93
California,Blythe,4,0,3791.5,7148.88,51.05,4.0,0.0,0.0
California,Bodega,4,0,4272.75,8624.99,44.08,3.5,0.0,0.0
California,Bodega Bay,4,1,4576.5,19545.44,90.08,3.25,25.0,2519.91
California,Bodfish,4,3,3956.0,4749.64,68.47,2.0,75.0,2228.04
California,Bolinas,4,1,4421.0,5669.28,32.98,3.0,25.0,53.89
California,Bonita,4,1,3860.75,12247.85,56.32,3.5,25.0,665.67
California,Bonsall,4,1,3788.75,6664.66,64.3,3.25,25.0,810.7
California,Boonville,4,0,4417.0,22599.0,84.79,4.0,0.0,0.0
California,Boron,4,1,3159.25,5856.16,59.85,3.5,25.0,1272.95
California,Borrego Springs,3,0,3535.33,6387.59,61.17,5.0,0.0,0.0
California,Boulder Creek,4,4,3688.5,15807.02,95.0,1.75,100.0,15807.02
California,Boulevard,3,0,3007.67,5002.44,53.33,4.0,0.0,0.0
California,Bradley,4,2,4079.75,5627.64,47.28,2.25,50.0,838.44
California,Branscomb,4,2,4288.25,2185.18,51.25,2.75,50.0,1340.46
California,Brawley,5,1,4019.0,24456.55,84.78,3.2,20.0,9310.25
California,Brea,8,4,4055.5,11869.45,56.2,2.88,50.0,9218.23
California,Brentwood,4,0,4491.0,14316.4,73.22,4.0,0.0,0.0
California,Bridgeport,4,0,4167.5,10441.27,56.12,3.25,0.0,0.0
California,Bridgeville,4,3,4159.5,9207.82,58.19,2.5,75.0,8783.61
California,Brisbane,4,1,4489.0,10516.04,50.21,3.0,25.0,22.54
California,Brookdale,4,0,4452.5,12064.25,63.71,4.5,0.0,0.0
California,Brooks,4,1,3794.75,6617.18,74.06,3.75,25.0,121.5
California,Browns Valley,4,1,4548.75,11758.73,55.42,3.25,25.0,2181.56
California,Brownsville,4,1,3914.5,11528.73,73.53,4.0,25.0,85.48
California,Buellton,4,2,4821.25,12051.54,75.14,2.75,50.0,2052.02
California,Buena Park,10,4,4465.0,25858.24,64.61,3.0,40.0,7723.22
California,Burbank,25,6,4529.0,79276.93,72.84,3.32,24.0,14443.55
California,Burlingame,4,2,3438.25,3355.21,70.55,3.25,50.0,1892.41
California,Burney,4,2,3849.25,12881.3,72.44,2.25,50.0,7608.42
California,Burnt Ranch,4,1,4519.75,9828.44,51.39,3.0,25.0,87.47
California,Burson,4,0,4000.25,12179.73,63.32,3.75,0.0,0.0
California,Butte City,4,1,4506.0,15060.28,82.72,2.75,25.0,5535.07
California,Buttonwillow,4,2,4872.0,8123.01,66.41,2.75,50.0,1072.98
California,Byron,4,3,4720.75,14545.74,79.95,2.25,75.0,4759.11
California,Cabazon,5,1,4431.0,18472.41,81.14,2.8,20.0,106.85
California,Calabasas,5,0,4453.0,14108.78,44.45,4.6,0.0,0.0
California,Calexico,5,1,4777.6,4624.68,34.83,3.4,20.0,312.44
California,Caliente,4,1,4307.25,4462.65,52.09,3.0,25.0,84.75
California,California City,4,0,4732.75,14232.84,73.68,3.5,0.0,0.0
California,California Hot Springs,4,1,4177.25,7404.4,57.32,3.25,25.0,777.44
California,Calimesa,4,1,4632.25,7518.24,55.75,3.25,25.0,90.6
California,Calipatria,5,1,4831.8,25101.07,76.85,4.0,20.0,269.81
California,Calistoga,4,1,4187.5,14227.05,77.53,3.75,25.0,1525.31
California,Callahan,4,1,5484.5,18071.57,69.92,3.25,25.0,90.6
California,Calpine,4,0,4618.5,15230.1,53.79,4.25,0.0,0.0
California,Camarillo,8,4,3877.0,29101.36,91.88,2.62,50.0,4727.33
California,Cambria,4,0,5052.25,23745.43,78.04,3.75,0.0,0.0
California,Camino,4,1,4484.75,7429.23,50.62,4.25,25.0,303.81
California,Camp Nelson,4,2,5227.25,10708.2,75.86,2.0,50.0,8016.72
California,Campbell,4,1,5287.5,25177.85,92.16,2.5,25.0,10717.17
California,Campo,4,2,3630.5,3609.48,56.58,2.75,50.0,191.21
California,Campo Seco,4,1,3964.75,15129.82,66.3,3.0,25.0,5512.9
California,Camptonville,4,1,4493.75,20829.8,81.18,3.25,25.0,1354.72
California,Canby,4,1,3882.0,3137.84,66.76,4.0,25.0,1582.68
California,Canoga Park,10,3,3438.5,26132.86,71.68,3.5,30.0,1819.86
California,Cantua Creek,4,1,5160.5,15527.67,80.76,2.75,25.0,1004.74
California,Canyon Country,5,2,5343.8,14256.25,52.97,3.0,40.0,127.95
California,Canyon Dam,4,2,5150.25,9703.67,83.06,3.0,50.0,3148.2
California,Capay,4,0,4651.75,9011.97,22.84,4.5,0.0,0.0
California,Capistrano Beach,4,1,4669.0,20895.37,89.95,3.0,25.0,926.88
California,Capitola,4,1,3875.25,7711.76,57.66,3.0,25.0,222.72
California,Cardiff By The Sea,4,0,4714.0,22786.5,83.96,3.75,0.0,0.0
California,Carlotta,4,0,4257.25,10103.16,51.19,3.5,0.0,0.0
California,Carlsbad,8,2,4308.38,16286.59,44.56,3.25,25.0,127.93
California,Carmel,4,1,4360.5,11688.05,59.45,3.0,25.0,52.08
California,Carmel By The Sea,4,1,5148.75,20592.39,85.64,3.5,25.0,89.84
California,Carmel Valley,4,1,5273.0,13902.37,62.39,2.5,25.0,96.05
California,Carmichael,4,2,4409.75,6323.78,63.05,3.25,50.0,3093.3
California,Carnelian Bay,4,2,4351.0,18420.37,90.75,2.25,50.0,5341.6
California,Carpinteria,4,1,5570.0,18201.09,83.96,3.5,25.0,799.2
California,Carson,10,2,4341.5,20434.44,64.12,3.3,20.0,1406.62
California,Caruthers,4,0,3687.5,5717.95,42.46,3.75,0.0,0.0
California,Casmalia,4,1,3753.0,13002.62,56.28,2.75,25.0,55.07
California,Caspar,4,2,4558.0,24514.02,87.8,2.0,50.0,4792.05
California,Cassel,4,1,4994.0,22477.22,77.69,3.25,25.0,5647.3
California,Castaic,5,2,4376.4,23144.06,58.83,3.0,40.0,10677.7
California,Castella,4,2,4342.0,13902.27,71.58,3.0,50.0,8667.8
California,Castro Valley,8,1,4318.88,26944.11,68.35,3.25,12.5,165.99
California,Castroville,4,0,3793.0,14422.3,70.97,4.0,0.0,0.0
California,Cathedral City,5,0,3864.6,27788.54,75.62,3.6,0.0,0.0
California,Catheys Valley,4,1,3807.0,18083.55,83.0,3.25,25.0,1378.7
California,Cayucos,4,0,4908.75,13103.24,57.9,4.25,0.0,0.0
California,Cazadero,4,0,3954.25,14904.73,95.29,3.5,0.0,0.0
California,Cedar Glen,4,1,4455.0,5266.08,55.75,3.5,25.0,83.08
California,Cedarville,4,0,4906.0,8686.55,29.94,4.0,0.0,0.0
California,Ceres,4,0,3577.5,8252.79,52.79,4.25,0.0,0.0
California,Cerritos,5,1,3946.0,6270.77,49.47,4.4,20.0,2073.45
California,Challenge,4,2,4718.25,9631.31,58.94,2.5,50.0,259.56
California,Chatsworth,5,1,3784.6,10464.65,44.5,2.6,20.0,4660.6
California,Chester,4,0,4637.75,13032.8,50.04,3.0,0.0,0.0
California,Chico,12,3,4507.0,34124.5,59.95,3.33,25.0,11065.96
California,Chilcoot,4,0,5157.25,9309.2,33.56,4.25,0.0,0.0
California,Chino,5,2,4486.8,17614.75,64.96,3.0,40.0,10255.81
California,Chino Hills,5,0,5488.2,24937.87,78.16,3.8,0.0,0.0
California,Chowchilla,4,0,4077.5,8041.56,43.48,3.5,0.0,0.0
California,Chualar,4,1,4477.0,16067.84,76.75,3.0,25.0,886.12
California,Chula Vista,22,2,4929.55,75691.71,67.71,3.73,9.09,6537.55
California,Citrus Heights,8,1,4604.38,38823.8,65.16,3.0,12.5,3295.68
California,Claremont,5,2,4315.4,17983.08,74.25,3.8,40.0,4429.87
California,Clarksburg,4,2,4115.5,9870.53,55.03,3.25,50.0,8429.91
California,Clayton,4,1,4791.0,8286.65,50.46,3.25,25.0,31.45
California,Clearlake,4,2,3355.0,7173.51,54.12,2.25,50.0,5751.56
California,Clearlake Oaks,4,2,4325.5,10112.25,59.74,2.5,50.0,2550.25
California,Clements,4,1,5072.5,13190.15,69.91,3.0,25.0,120.48
California,Clio,4,0,4835.0,15181.61,51.28,3.5,0.0,0.0
California,Clipper Mills,4,1,4208.5,8862.86,85.69,3.0,25.0,206.17
California,Cloverdale,4,1,4642.0,6548.58,59.56,3.25,25.0,667.62
California,Clovis,8,2,4369.12,17197.67,68.88,3.62,25.0,2136.57
California,Coachella,4,0,4873.0,10923.14,68.36,4.25,0.0,0.0
California,Coalinga,4,2,3744.25,13894.53,75.34,3.5,50.0,6355.14
California,Coarsegold,4,0,5027.75,18716.17,85.39,4.25,0.0,0.0
California,Cobb,4,1,4784.25,12602.83,69.4,3.25,25.0,3128.84
California,Coleville,4,0,4906.25,14093.25,58.8,3.75,0.0,0.0
California,Colfax,4,1,3741.75,3294.04,28.69,3.75,25.0,78.7
California,Colton,4,1,4425.75,12800.22,62.25,3.25,25.0,44.92
California,Columbia,4,2,5184.25,15371.2,66.69,2.0,50.0,2331.61
California,Colusa,4,1,5517.5,14132.69,49.96,3.5,25.0,29.46
California,Comptche,4,3,4205.75,2844.97,56.45,2.5,75.0,2672.89
California,Compton,15,2,4656.93,43142.78,63.75,3.6,13.33,585.63
California,Concord,16,6,4460.44,38249.49,63.46,3.19,37.5,10526.07
California,Cool,4,1,3532.5,15309.33,80.32,2.5,25.0,272.56
California,Copperopolis,4,0,4396.0,13347.01,74.72,4.25,0.0,0.0
California,Corcoran,4,1,4574.0,15757.08,63.22,3.25,25.0,55.14
California,Corning,4,1,4662.25,21776.05,71.22,3.25,25.0,7364.52
California,Corona,20,2,4413.75,67974.23,66.47,3.4,10.0,8068.82
California,Corona Del Mar,4,3,3673.5,7462.65,79.15,3.0,75.0,1675.95
California,Coronado,5,2,4367.0,19072.23,73.58,3.4,40.0,7669.95
California,Corte Madera,4,1,4253.5,11567.02,73.11,3.0,25.0,97.81
California,Costa Mesa,8,3,5035.0,29269.45,64.35,2.75,37.5,6424.8
California,Cotati,4,2,5285.0,8844.94,46.35,2.75,50.0,135.88
California,Cottonwood,4,1,3485.0,6938.76,65.92,3.25,25.0,108.93
California,Coulterville,4,0,5207.5,19426.18,61.76,3.5,0.0,0.0
California,Courtland,4,0,3457.75,7405.47,61.15,3.75,0.0,0.0
California,Covelo,4,1,4216.5,10537.43,81.6,3.25,25.0,1946.35
California,Covina,15,3,4506.47,45074.5,62.03,3.33,20.0,1672.17
California,Crescent Mills,4,1,4396.25,11070.46,48.04,3.25,25.0,3027.85
California,Cressey,4,0,4353.5,13732.49,50.4,3.25,0.0,0.0
California,Crestline,4,2,3794.0,9947.22,78.56,2.5,50.0,7285.58
California,Creston,4,0,4973.0,10783.21,48.86,3.5,0.0,0.0
California,Crockett,4,2,4379.0,6291.84,58.14,2.75,50.0,1386.99
California,Crows Landing,4,1,4902.75,12500.74,70.18,2.75,25.0,3351.2
California,Culver City,10,3,3565.1,8622.76,52.96,3.2,30.0,1125.39
California,Cupertino,4,2,5098.0,13448.98,54.44,2.75,50.0,12440.36
California,Cutler,4,1,3208.25,9686.29,77.26,3.75,25.0,4406.81
California,Cypress,5,0,5063.2,14640.78,40.65,3.8,0.0,0.0
California,Daggett,4,1,4066.25,2206.64,64.96,2.75,25.0,99.33
California,Daly City,8,5,4120.75,18755.84,67.31,2.25,62.5,8003.27
California,Dana Point,4,2,4410.0,694.86,47.62,2.75,50.0,182.21
California,Danville,8,1,4334.12,38706.66,76.61,3.75,12.5,1055.4
California,Darwin,4,0,5468.25,17579.26,64.18,3.5,0.0,0.0
California,Davenport,4,2,3728.25,7358.94,52.66,2.5,50.0,1267.81
California,Davis,8,4,3649.5,15047.23,65.04,2.62,50.0,3198.3
California,Davis Creek,3,0,4542.67,6988.01,83.58,4.0,0.0,0.0
California,Death Valley,4,0,5389.0,17878.66,74.89,3.75,0.0,0.0
California,Deer Park,4,2,5359.25,10961.06,53.9,2.25,50.0,4053.0
California,Del Mar,3,1,5244.0,23665.85,90.97,3.0,33.33,6085.89
California,Del Rey,4,0,4674.25,21204.34,85.18,4.0,0.0,0.0
California,Delano,4,2,4412.75,15946.43,92.9,2.75,50.0,5599.27
California,Delhi,4,3,4758.25,12176.13,59.68,2.5,75.0,7683.8
California,Denair,4,1,4883.5,17651.35,61.72,3.25,25.0,2628.34
California,Descanso,5,0,4177.2,17849.42,68.58,4.0,0.0,0.0
California,Desert Center,5,2,4668.2,15707.7,83.97,2.4,40.0,3737.87
California,Desert Hot Springs,9,2,3781.78,26096.03,62.89,3.22,22.22,7301.75
California,Diamond Bar,5,0,4026.0,13386.47,62.7,3.4,0.0,0.0
California,Diamond Springs,4,2,4957.75,6316.49,66.19,2.5,50.0,601.92
California,Dillon Beach,4,0,3795.5,11719.2,65.04,3.75,0.0,0.0
California,Dinuba,4,3,3858.5,3636.37,56.34,2.25,75.0,3337.67
California,Dixon,4,1,3544.75,6125.29,49.91,3.0,25.0,290.03
California,Dobbins,4,2,5758.75,18103.59,76.64,2.75,50.0,11180.95
California,Dorris,4,1,4034.25,7134.09,69.92,3.25,25.0,110.0
California,Dos Palos,4,0,4807.25,2522.35,47.2,3.25,0.0,0.0
California,Dos Rios,4,0,4748.0,5775.61,41.39,3.5,0.0,0.0
California,Douglas City,4,2,5533.5,12683.16,74.26,2.0,50.0,2028.1
California,Downey,15,3,4099.33,43137.33,59.99,3.67,20.0,7325.68
California,Downieville,4,1,4207.5,10063.9,72.44,3.25,25.0,429.96
California,Doyle,4,1,4895.5,14111.27,72.91,3.0,25.0,1800.55
California,Duarte,5,2,4029.8,5059.14,34.31,3.0,40.0,4695.06
California,Dublin,4,2,3675.0,9785.04,67.34,2.5,50.0,1408.43
California,Ducor,4,1,4873.25,4725.67,73.71,2.75,25.0,507.56
California,Dulzura,4,0,3993.75,17888.52,68.54,4.0,0.0,0.0
California,Duncans Mills,4,0,3639.25,14676.4,45.05,3.25,0.0,0.0
California,Dunlap,4,1,4497.25,8735.72,58.09,3.25,25.0,1950.84
California,Dunnigan,4,2,3610.25,5796.11,53.42,3.25,50.0,1025.24
California,Dunsmuir,4,1,4638.75,3982.12,21.56,2.75,25.0,712.85
California,Durham,4,0,3954.0,17106.6,83.99,3.25,0.0,0.0
California,Dutch Flat,4,2,2750.5,5593.21,72.15,3.25,50.0,948.11
California,Eagleville,4,2,4749.25,238.57,41.7,3.25,50.0,127.26
California,Earlimart,4,1,4211.0,13516.69,77.7,2.75,25.0,301.08
California,Earp,5,0,4572.2,13674.94,43.61,3.8,0.0,0.0
California,Echo Lake,4,1,3734.0,14937.95,77.34,3.25,25.0,364.74
California,Edwards,4,1,4058.75,6411.41,73.62,3.0,25.0,155.35
California,El Cajon,12,0,4197.25,44513.91,60.22,4.0,0.0,0.0
California,El Centro,5,1,3844.6,15315.31,61.41,3.4,20.0,327.71
California,El Cerrito,4,0,4347.25,18933.22,81.86,3.25,0.0,0.0
California,El Dorado,4,1,4180.5,9703.83,66.62,3.25,25.0,274.03
California,El Dorado Hills,4,0,4069.0,8252.89,58.58,4.0,0.0,0.0
California,El Monte,10,6,4652.5,27273.35,71.51,2.5,60.0,13957.2
California,El Nido,4,0,5123.25,14765.8,40.86,4.5,0.0,0.0
California,El Portal,4,0,3614.75,13595.58,74.42,3.25,0.0,0.0
California,El Segundo,5,1,4708.6,17980.22,77.16,3.0,20.0,684.93
California,El Sobrante,4,1,3768.75,12651.35,75.45,3.75,25.0,1790.57
California,Eldridge,2,2,4059.0,1405.04,76.78,1.5,100.0,1405.04
California,Elk,4,1,5019.5,11098.61,58.85,4.0,25.0,66.77
California,Elk Creek,4,1,4659.0,7433.72,69.36,3.25,25.0,115.85
California,Elk Grove,8,4,4609.38,29889.65,60.51,2.75,50.0,14851.08
California,Elmira,4,2,4612.0,5804.91,56.19,2.75,50.0,1528.28
California,Elverta,4,2,3836.0,16174.32,85.88,2.75,50.0,4645.52
California,Emeryville,4,2,4165.0,12132.85,43.92,2.75,50.0,1046.61
California,Emigrant Gap,4,1,4569.75,17453.68,62.06,2.5,25.0,4575.25
California,Encinitas,4,1,3394.75,8388.25,71.21,3.25,25.0,261.81
California,Encino,10,1,4807.6,24094.67,54.87,3.8,10.0,36.41
California,Escalon,4,0,4124.0,5048.63,47.58,4.25,0.0,0.0
California,Escondido,51,16,4388.86,155899.8,67.88,3.02,31.37,38869.89
California,Esparto,4,0,4413.0,8979.58,59.58,3.5,0.0,0.0
California,Essex,4,0,4907.75,17964.06,87.28,3.75,0.0,0.0
California,Etna,4,1,3615.5,16451.37,71.79,2.5,25.0,83.35
California,Eureka,8,2,4180.62,17014.34,56.42,3.25,25.0,1351.62
California,Exeter,4,3,4335.0,3768.42,56.02,2.25,75.0,2416.02
California,Fair Oaks,4,2,4475.5,8639.77,68.88,2.75,50.0,5860.3
California,Fairfax,4,0,5559.0,16766.59,55.14,3.75,0.0,0.0
California,Fairfield,4,2,3249.75,11533.14,55.18,3.25,50.0,10243.43
California,Fall River Mills,4,1,4370.0,2427.89,53.5,3.0,25.0,105.02
California,Fallbrook,43,26,4531.28,93409.28,69.83,2.72,60.47,34691.78
California,Farmersville,4,1,5047.5,14956.86,76.31,4.0,25.0,3020.12
California,Farmington,4,0,3832.5,12285.18,76.03,4.5,0.0,0.0
California,Fawnskin,4,1,4609.5,18089.54,84.41,3.25,25.0,4870.52
California,Fellows,4,3,4842.5,2626.72,59.71,2.5,75.0,2322.59
California,Felton,4,1,4178.0,9146.72,49.8,2.75,25.0,96.75
California,Ferndale,4,1,2861.5,7580.59,62.71,3.25,25.0,4851.93
California,Fiddletown,4,0,4305.5,5765.9,33.54,4.0,0.0,0.0
California,Fields Landing,4,1,5600.25,11386.72,75.05,3.0,25.0,381.56
California,Fillmore,4,0,3994.75,14475.85,51.76,3.5,0.0,0.0
California,Firebaugh,4,0,3702.0,2658.89,41.06,3.75,0.0,0.0
California,Fish Camp,4,0,4030.75,13453.57,48.56,4.0,0.0,0.0
California,Five Points,4,2,4342.0,20658.74,97.54,2.5,50.0,10645.84
California,Flournoy,4,1,4914.25,7339.89,55.65,3.25,25.0,103.67
California,Folsom,4,2,4050.5,17779.99,90.04,3.0,50.0,6143.72
California,Fontana,12,3,4125.42,30174.46,58.07,3.42,25.0,1351.79
California,Foothill Ranch,4,2,5150.5,12304.66,73.19,2.75,50.0,2370.33
California,Forbestown,4,1,5152.0,16849.18,81.04,3.25,25.0,5292.64
California,Forest Falls,4,0,5343.0,16564.8,58.1,4.25,0.0,0.0
California,Forest Knolls,4,1,3849.5,5238.43,34.55,3.5,25.0,526.95
California,Forest Ranch,4,1,2668.25,8028.25,59.31,3.75,25.0,1842.35
California,Foresthill,4,0,4890.5,13278.05,56.36,3.5,0.0,0.0
California,Forestville,4,0,5127.0,15700.25,73.08,3.5,0.0,0.0
California,Forks Of Salmon,4,0,5075.0,18910.88,85.45,4.25,0.0,0.0
California,Fort Bidwell,3,1,5563.0,18286.51,83.23,3.0,33.33,3122.87
California,Fort Bragg,4,0,4466.5,17973.9,68.7,4.25,0.0,0.0
California,Fort Irwin,4,0,4951.0,7463.49,46.91,3.75,0.0,0.0
California,Fortuna,4,0,4920.0,14433.73,71.79,3.75,0.0,0.0
California,Fountain Valley,4,0,4940.0,22890.3,88.41,3.75,0.0,0.0
California,Fowler,4,1,5248.5,10469.19,54.81,3.25,25.0,1443.54
California,Frazier Park,8,1,4497.75,26498.52,75.36,3.0,12.5,709.84
California,Freedom,4,1,4617.0,13753.41,74.82,2.75,25.0,1465.16
California,Fremont,16,7,4379.06,46102.46,70.99,2.81,43.75,4031.61
California,French Camp,4,1,4981.5,15892.35,88.28,3.0,25.0,1846.9
California,French Gulch,4,0,4157.75,8796.77,51.91,4.0,0.0,0.0
California,Fresno,61,13,4362.62,194430.25,63.63,3.48,21.31,29607.42
California,Friant,4,1,4298.25,12788.67,76.34,2.75,25.0,1313.55
California,Fullerton,16,2,4846.75,69197.97,69.6,3.44,12.5,19553.35
California,Fulton,4,2,5339.0,16971.09,71.11,2.25,50.0,7794.14
California,Galt,4,1,4834.75,9309.49,62.6,3.25,25.0,1423.7
California,Garberville,4,1,4426.0,9081.09,63.5,3.0,25.0,167.39
California,Garden Grove,20,4,4533.6,79171.46,66.31,3.65,20.0,4081.76
California,Garden Valley,4,2,4221.75,9565.86,88.41,3.0,50.0,1766.95
California,Gardena,15,1,4104.4,39503.21,66.51,3.6,6.67,99.99
California,Gasquet,4,1,5155.5,12943.86,76.91,3.25,25.0,330.77
