customer_id,segment_id,segment_name
0130-SXOUN,2,Segment 2 — High-Value At-Risk
0133-BMFZO,0,Segment 0 — Emerging Risk
0134-XWXCE,0,Segment 0 — Emerging Risk
0135-NMXAP,0,Segment 0 — Emerging Risk
0136-IFMYD,2,Segment 2 — High-Value At-Risk
0137-OCGAB,0,Segment 0 — Emerging Risk
0137-UDEUO,1,Segment 1 — High-Value Stable
0139-IVFJG,0,Segment 0 — Emerging Risk
0141-YEAYS,0,Segment 0 — Emerging Risk
0142-GVYSN,1,Segment 1 — High-Value Stable
0147-ESWWR,2,Segment 2 — High-Value At-Risk
0148-DCDOS,0,Segment 0 — Emerging Risk
0151-ONTOV,0,Segment 0 — Emerging Risk
0156-FVPTA,0,Segment 0 — Emerging Risk
0164-APGRB,2,Segment 2 — High-Value At-Risk
0164-XAIRP,1,Segment 1 — High-Value Stable
0168-XZKBB,0,Segment 0 — Emerging Risk
0174-QRVVY,1,Segment 1 — High-Value Stable
0177-PXBAT,2,Segment 2 — High-Value At-Risk
0178-CIIKR,1,Segment 1 — High-Value Stable
0178-SZBHO,0,Segment 0 — Emerging Risk
0181-RITDD,2,Segment 2 — High-Value At-Risk
0186-CAERR,2,Segment 2 — High-Value At-Risk
0187-QSXOE,2,Segment 2 — High-Value At-Risk
0187-WZNAB,0,Segment 0 — Emerging Risk
0188-GWFLE,1,Segment 1 — High-Value Stable
0191-EQUUH,0,Segment 0 — Emerging Risk
0191-ZHSKZ,0,Segment 0 — Emerging Risk
0193-ESZXP,2,Segment 2 — High-Value At-Risk
0195-IESCP,0,Segment 0 — Emerging Risk
0196-JTUQI,0,Segment 0 — Emerging Risk
0196-VULGZ,0,Segment 0 — Emerging Risk
0197-PNKNK,2,Segment 2 — High-Value At-Risk
0201-MIBOL,2,Segment 2 — High-Value At-Risk
0201-OAMXR,2,Segment 2 — High-Value At-Risk
0203-HHYIJ,1,Segment 1 — High-Value Stable
0206-OYVOC,1,Segment 1 — High-Value Stable
0206-TBWLC,2,Segment 2 — High-Value At-Risk
0207-MDKNV,0,Segment 0 — Emerging Risk
0208-BPQEJ,1,Segment 1 — High-Value Stable
0212-ISBBF,0,Segment 0 — Emerging Risk
0214-JHPFW,2,Segment 2 — High-Value At-Risk
0215-BQKGS,0,Segment 0 — Emerging Risk
0218-QNVAS,2,Segment 2 — High-Value At-Risk
0219-QAERP,1,Segment 1 — High-Value Stable
0219-YTZUE,0,Segment 0 — Emerging Risk
0220-EBGCE,0,Segment 0 — Emerging Risk
0221-NAUXK,1,Segment 1 — High-Value Stable
0221-WMXNQ,0,Segment 0 — Emerging Risk
0222-CNVPT,2,Segment 2 — High-Value At-Risk
0224-HJAPT,0,Segment 0 — Emerging Risk
0224-NIJLP,1,Segment 1 — High-Value Stable
0224-RLWWD,0,Segment 0 — Emerging Risk
0225-ZORZP,0,Segment 0 — Emerging Risk
0228-MAUWC,0,Segment 0 — Emerging Risk
0229-LFJAF,2,Segment 2 — High-Value At-Risk
0230-UBYPQ,2,Segment 2 — High-Value At-Risk
0230-WEQUW,2,Segment 2 — High-Value At-Risk
0231-LXVAP,0,Segment 0 — Emerging Risk
0233-FTHAV,2,Segment 2 — High-Value At-Risk
0234-TEVTT,2,Segment 2 — High-Value At-Risk
0235-KGSLC,0,Segment 0 — Emerging Risk
0236-HFWSV,0,Segment 0 — Emerging Risk
0237-YFUTL,2,Segment 2 — High-Value At-Risk
0238-WHBIQ,2,Segment 2 — High-Value At-Risk
0239-OXEXL,2,Segment 2 — High-Value At-Risk
0244-LGNFY,2,Segment 2 — High-Value At-Risk
0247-SLUJI,1,Segment 1 — High-Value Stable
0248-IPDFW,0,Segment 0 — Emerging Risk
0248-PGHBZ,2,Segment 2 — High-Value At-Risk
0253-ZTEOB,2,Segment 2 — High-Value At-Risk
0254-FNMCI,2,Segment 2 — High-Value At-Risk
0254-KCJGT,2,Segment 2 — High-Value At-Risk
0254-WWRKD,2,Segment 2 — High-Value At-Risk
0256-LTHVJ,0,Segment 0 — Emerging Risk
0257-KXZGU,0,Segment 0 — Emerging Risk
0257-ZESQC,0,Segment 0 — Emerging Risk
0258-NOKBL,0,Segment 0 — Emerging Risk
0259-GBZSH,0,Segment 0 — Emerging Risk
0260-ZDLGK,0,Segment 0 — Emerging Risk
0263-FJTQO,2,Segment 2 — High-Value At-Risk
0264-CNITK,1,Segment 1 — High-Value Stable
0265-EDXBD,0,Segment 0 — Emerging Risk
0265-PSUAE,0,Segment 0 — Emerging Risk
0266-CLZKZ,2,Segment 2 — High-Value At-Risk
0266-GMEAO,2,Segment 2 — High-Value At-Risk
0268-QKIWO,1,Segment 1 — High-Value Stable
0269-XFESX,1,Segment 1 — High-Value Stable
0270-THENM,2,Segment 2 — High-Value At-Risk
0274-JKUJR,0,Segment 0 — Emerging Risk
0277-BKSQP,0,Segment 0 — Emerging Risk
0277-ORXQS,2,Segment 2 — High-Value At-Risk
0278-YXOOG,1,Segment 1 — High-Value Stable
0280-XJGEX,2,Segment 2 — High-Value At-Risk
0281-CNTZX,1,Segment 1 — High-Value Stable
0282-NVSJS,0,Segment 0 — Emerging Risk
0285-INHLN,0,Segment 0 — Emerging Risk
0289-IVARM,0,Segment 0 — Emerging Risk
0292-WEGCH,2,Segment 2 — High-Value At-Risk
0295-PPHDO,0,Segment 0 — Emerging Risk
0295-QVKPB,0,Segment 0 — Emerging Risk
0297-RBCSG,0,Segment 0 — Emerging Risk
0298-XACET,2,Segment 2 — High-Value At-Risk
0301-FIDRB,2,Segment 2 — High-Value At-Risk
0301-KOBTQ,1,Segment 1 — High-Value Stable
0302-JOIVN,0,Segment 0 — Emerging Risk
0303-UNCIP,2,Segment 2 — High-Value At-Risk
0303-WMMRN,1,Segment 1 — High-Value Stable
0305-SQECB,0,Segment 0 — Emerging Risk
0306-JAELE,0,Segment 0 — Emerging Risk
0307-BCOPK,1,Segment 1 — High-Value Stable
0308-GIQJT,2,Segment 2 — High-Value At-Risk
0308-IVGOK,0,Segment 0 — Emerging Risk
0310-MVLET,2,Segment 2 — High-Value At-Risk
0310-SUCIN,2,Segment 2 — High-Value At-Risk
0310-VQXAM,1,Segment 1 — High-Value Stable
0311-QYWSS,0,Segment 0 — Emerging Risk
0311-UNPFF,0,Segment 0 — Emerging Risk
0314-TKOSI,0,Segment 0 — Emerging Risk
0315-LVCRK,0,Segment 0 — Emerging Risk
0318-QUUOB,0,Segment 0 — Emerging Risk
0318-ZOPWS,1,Segment 1 — High-Value Stable
0319-QZTCO,0,Segment 0 — Emerging Risk
0320-DWVTU,2,Segment 2 — High-Value At-Risk
0320-JDNQG,0,Segment 0 — Emerging Risk
0322-CHQRU,0,Segment 0 — Emerging Risk
0322-YINQP,0,Segment 0 — Emerging Risk
0323-XWWTN,1,Segment 1 — High-Value Stable
0324-BRPCJ,2,Segment 2 — High-Value At-Risk
0325-XBFAC,0,Segment 0 — Emerging Risk
0326-VDYXE,2,Segment 2 — High-Value At-Risk
0327-WFZSY,2,Segment 2 — High-Value At-Risk
0328-GRPMV,0,Segment 0 — Emerging Risk
0329-GTIAJ,0,Segment 0 — Emerging Risk
0330-BGYZE,2,Segment 2 — High-Value At-Risk
0330-IVZHA,0,Segment 0 — Emerging Risk
0334-GDDSO,0,Segment 0 — Emerging Risk
0334-ZFJSR,2,Segment 2 — High-Value At-Risk
0336-KXKFK,2,Segment 2 — High-Value At-Risk
0336-PIKEI,2,Segment 2 — High-Value At-Risk
0337-CNPZE,0,Segment 0 — Emerging Risk
0343-QLUZP,2,Segment 2 — High-Value At-Risk
0345-HKJVM,0,Segment 0 — Emerging Risk
0345-XMMUG,2,Segment 2 — High-Value At-Risk
0347-UBKUZ,1,Segment 1 — High-Value Stable
0348-SDKOL,2,Segment 2 — High-Value At-Risk
0354-VXMJC,1,Segment 1 — High-Value Stable
0354-WYROK,0,Segment 0 — Emerging Risk
0356-ERHVT,0,Segment 0 — Emerging Risk
0356-OBMAC,2,Segment 2 — High-Value At-Risk
0357-NVCRI,1,Segment 1 — High-Value Stable
0361-HJRDX,2,Segment 2 — High-Value At-Risk
0362-RAOQO,1,Segment 1 — High-Value Stable
0362-ZBZWJ,0,Segment 0 — Emerging Risk
0363-QJVFX,0,Segment 0 — Emerging Risk
0363-SVHYR,2,Segment 2 — High-Value At-Risk
0365-BZUWY,0,Segment 0 — Emerging Risk
0365-GXEZS,0,Segment 0 — Emerging Risk
0365-TRTPY,0,Segment 0 — Emerging Risk
0366-NQSHS,1,Segment 1 — High-Value Stable
0369-ZGOVK,0,Segment 0 — Emerging Risk
0373-AIVNJ,0,Segment 0 — Emerging Risk
0374-AACSZ,0,Segment 0 — Emerging Risk
0374-FIUCA,1,Segment 1 — High-Value Stable
0374-IOEGQ,0,Segment 0 — Emerging Risk
0375-HVGXO,0,Segment 0 — Emerging Risk
0376-OIWME,0,Segment 0 — Emerging Risk
0376-YMCJC,0,Segment 0 — Emerging Risk
0377-JBKKT,0,Segment 0 — Emerging Risk
0378-CJKPV,2,Segment 2 — High-Value At-Risk
0378-NHQXU,0,Segment 0 — Emerging Risk
0378-TOVMS,0,Segment 0 — Emerging Risk
0378-XSZPU,2,Segment 2 — High-Value At-Risk
0379-DJQHR,2,Segment 2 — High-Value At-Risk
0380-NEAVX,2,Segment 2 — High-Value At-Risk
0380-ZCSBI,1,Segment 1 — High-Value Stable
0383-CLDDA,2,Segment 2 — High-Value At-Risk
0384-LPITE,0,Segment 0 — Emerging Risk
0384-RVBPI,0,Segment 0 — Emerging Risk
0386-CWRGM,1,Segment 1 — High-Value Stable
0388-EOPEX,0,Segment 0 — Emerging Risk
0390-DCFDQ,0,Segment 0 — Emerging Risk
0392-BZIUW,2,Segment 2 — High-Value At-Risk
0394-YONDK,1,Segment 1 — High-Value Stable
0396-HUJBP,1,Segment 1 — High-Value Stable
0396-UKGAI,0,Segment 0 — Emerging Risk
0396-YCHWO,2,Segment 2 — High-Value At-Risk
0397-GZBBC,0,Segment 0 — Emerging Risk
0397-ZXWQF,1,Segment 1 — High-Value Stable
0401-WDBXM,2,Segment 2 — High-Value At-Risk
0402-CQAJN,0,Segment 0 — Emerging Risk
0402-OAMEN,1,Segment 1 — High-Value Stable
0404-AHASP,1,Segment 1 — High-Value Stable
0404-SWRVG,0,Segment 0 — Emerging Risk
0406-BPDVR,2,Segment 2 — High-Value At-Risk
0407-BDJKB,2,Segment 2 — High-Value At-Risk
0409-WTMPL,2,Segment 2 — High-Value At-Risk
0410-IPFTY,0,Segment 0 — Emerging Risk
0411-EZJZE,0,Segment 0 — Emerging Risk
0412-UCCNP,2,Segment 2 — High-Value At-Risk
0415-MOSGF,0,Segment 0 — Emerging Risk
0419-YAAPX,2,Segment 2 — High-Value At-Risk
0420-BWTPW,0,Segment 0 — Emerging Risk
0420-HLGXF,0,Segment 0 — Emerging Risk
0420-TXVSG,2,Segment 2 — High-Value At-Risk
0422-OHQHQ,1,Segment 1 — High-Value Stable
0422-UXFAP,2,Segment 2 — High-Value At-Risk
0423-UDIJQ,0,Segment 0 — Emerging Risk
0426-TIRNE,1,Segment 1 — High-Value Stable
0428-AXXLJ,1,Segment 1 — High-Value Stable
0428-IKYCP,0,Segment 0 — Emerging Risk
0430-IHCDJ,0,Segment 0 — Emerging Risk
0431-APWVY,2,Segment 2 — High-Value At-Risk
0432-CAJZV,0,Segment 0 — Emerging Risk
0434-CSFON,2,Segment 2 — High-Value At-Risk
0436-TWFFZ,2,Segment 2 — High-Value At-Risk
0439-IFYUN,0,Segment 0 — Emerging Risk
0440-EKDCF,2,Segment 2 — High-Value At-Risk
0440-MOGPM,0,Segment 0 — Emerging Risk
0440-QEXBZ,0,Segment 0 — Emerging Risk
0440-UEDAI,2,Segment 2 — High-Value At-Risk
0442-TDYUO,1,Segment 1 — High-Value Stable
0442-ZXKVS,2,Segment 2 — High-Value At-Risk
0447-BEMNG,0,Segment 0 — Emerging Risk
0447-RXSGD,0,Segment 0 — Emerging Risk
0454-OKRCT,2,Segment 2 — High-Value At-Risk
0455-ENTCR,2,Segment 2 — High-Value At-Risk
0455-XFASS,0,Segment 0 — Emerging Risk
0458-HEUZG,0,Segment 0 — Emerging Risk
0459-SPZHJ,2,Segment 2 — High-Value At-Risk
0461-CVKMU,0,Segment 0 — Emerging Risk
0463-TXOAK,1,Segment 1 — High-Value Stable
0463-WZZKO,1,Segment 1 — High-Value Stable
0463-ZSDNT,0,Segment 0 — Emerging Risk
0464-WJTKO,1,Segment 1 — High-Value Stable
0468-YRPXN,0,Segment 0 — Emerging Risk
0471-ARVMX,2,Segment 2 — High-Value At-Risk
0471-LVHGK,0,Segment 0 — Emerging Risk
0475-RIJEP,2,Segment 2 — High-Value At-Risk
0479-HMSWA,2,Segment 2 — High-Value At-Risk
0480-BIXDE,0,Segment 0 — Emerging Risk
0480-KYJVA,1,Segment 1 — High-Value Stable
0481-SUMCB,2,Segment 2 — High-Value At-Risk
0484-FFVBJ,0,Segment 0 — Emerging Risk
0484-JPBRU,1,Segment 1 — High-Value Stable
0485-ZBSLN,1,Segment 1 — High-Value Stable
0486-HECZI,2,Segment 2 — High-Value At-Risk
0486-LGCCH,1,Segment 1 — High-Value Stable
0487-CRLZF,2,Segment 2 — High-Value At-Risk
0487-RPVUM,2,Segment 2 — High-Value At-Risk
0487-VVUVK,1,Segment 1 — High-Value Stable
0488-GSLFR,0,Segment 0 — Emerging Risk
0489-WMEMG,0,Segment 0 — Emerging Risk
0491-KAPQG,0,Segment 0 — Emerging Risk
0495-RVCBF,0,Segment 0 — Emerging Risk
0495-ZBNGW,0,Segment 0 — Emerging Risk
0496-AHOOK,2,Segment 2 — High-Value At-Risk
0504-HHAPI,0,Segment 0 — Emerging Risk
0505-SPOOW,1,Segment 1 — High-Value Stable
0506-LVNGN,0,Segment 0 — Emerging Risk
0506-YLVKJ,1,Segment 1 — High-Value Stable
0508-OOLTO,0,Segment 0 — Emerging Risk
0508-SQWPL,1,Segment 1 — High-Value Stable
0511-JTEOY,0,Segment 0 — Emerging Risk
0512-FLFDW,2,Segment 2 — High-Value At-Risk
0513-RBGPE,2,Segment 2 — High-Value At-Risk
0515-YPMCW,0,Segment 0 — Emerging Risk
0516-OOHAR,2,Segment 2 — High-Value At-Risk
0516-QREYC,1,Segment 1 — High-Value Stable
0516-UXRMT,2,Segment 2 — High-Value At-Risk
0516-VRYBW,1,Segment 1 — High-Value Stable
0516-WJVXC,0,Segment 0 — Emerging Risk
0519-DRGTI,1,Segment 1 — High-Value Stable
0519-XUZJU,0,Segment 0 — Emerging Risk
0520-FDVVT,2,Segment 2 — High-Value At-Risk
0523-VNGTF,0,Segment 0 — Emerging Risk
0524-IAVZO,0,Segment 0 — Emerging Risk
0526-SXDJP,2,Segment 2 — High-Value At-Risk
0529-ONKER,0,Segment 0 — Emerging Risk
0530-IJVDB,2,Segment 2 — High-Value At-Risk
0531-XBKMM,2,Segment 2 — High-Value At-Risk
0531-ZZJWQ,2,Segment 2 — High-Value At-Risk
0533-BNWKF,2,Segment 2 — High-Value At-Risk
0533-UCAAU,2,Segment 2 — High-Value At-Risk
0536-ACXIP,2,Segment 2 — High-Value At-Risk
0536-BGFMZ,1,Segment 1 — High-Value Stable
0536-ESJEP,2,Segment 2 — High-Value At-Risk
0537-QYZZN,0,Segment 0 — Emerging Risk
0541-FITGH,0,Segment 0 — Emerging Risk
0547-HURJB,1,Segment 1 — High-Value Stable
0549-CYCQN,2,Segment 2 — High-Value At-Risk
0550-DCXLH,0,Segment 0 — Emerging Risk
0556-FJEGU,2,Segment 2 — High-Value At-Risk
0557-ASKVU,0,Segment 0 — Emerging Risk
0559-CKHUS,1,Segment 1 — High-Value Stable
0562-FGDCR,2,Segment 2 — High-Value At-Risk
0562-HKHML,1,Segment 1 — High-Value Stable
0562-KBDVM,2,Segment 2 — High-Value At-Risk
0564-JJHGS,0,Segment 0 — Emerging Risk
0564-MUUQK,0,Segment 0 — Emerging Risk
0565-IYCGT,2,Segment 2 — High-Value At-Risk
0565-JUPYD,2,Segment 2 — High-Value At-Risk
0567-GGCAC,0,Segment 0 — Emerging Risk
0567-XRHCU,2,Segment 2 — High-Value At-Risk
0568-ONFPC,1,Segment 1 — High-Value Stable
0570-BFQHT,0,Segment 0 — Emerging Risk
0572-ZJKLT,2,Segment 2 — High-Value At-Risk
0575-CUQOV,2,Segment 2 — High-Value At-Risk
0576-WNXXC,0,Segment 0 — Emerging Risk
0577-WHMEV,0,Segment 0 — Emerging Risk
0578-SKVMF,0,Segment 0 — Emerging Risk
0580-PIQHM,2,Segment 2 — High-Value At-Risk
0581-BXBUB,0,Segment 0 — Emerging Risk
0581-MDMPW,0,Segment 0 — Emerging Risk
0582-AVCLN,1,Segment 1 — High-Value Stable
0584-BJQGZ,0,Segment 0 — Emerging Risk
0585-EGDDA,2,Segment 2 — High-Value At-Risk
0587-DMGBH,0,Segment 0 — Emerging Risk
0594-UFTUL,1,Segment 1 — High-Value Stable
0595-ITUDF,2,Segment 2 — High-Value At-Risk
0596-BQCEQ,2,Segment 2 — High-Value At-Risk
0599-XNYDO,0,Segment 0 — Emerging Risk
0601-WZHJF,0,Segment 0 — Emerging Risk
0602-DDUML,2,Segment 2 — High-Value At-Risk
0603-OLQDC,0,Segment 0 — Emerging Risk
0603-TPMIB,1,Segment 1 — High-Value Stable
0604-THJFP,2,Segment 2 — High-Value At-Risk
0607-DAAHE,1,Segment 1 — High-Value Stable
0607-MVMGC,2,Segment 2 — High-Value At-Risk
0608-JDVEC,1,Segment 1 — High-Value Stable
0611-DFXKO,0,Segment 0 — Emerging Risk
0612-RTZZA,0,Segment 0 — Emerging Risk
0613-WUXUM,1,Segment 1 — High-Value Stable
0616-ATFGB,0,Segment 0 — Emerging Risk
0617-AQNWT,2,Segment 2 — High-Value At-Risk
0617-FHSGK,0,Segment 0 — Emerging Risk
0618-XWMSS,0,Segment 0 — Emerging Risk
0619-OLYUR,2,Segment 2 — High-Value At-Risk
0620-DLSLK,0,Segment 0 — Emerging Risk
0620-XEFWH,1,Segment 1 — High-Value Stable
0621-CXBKL,1,Segment 1 — High-Value Stable
0621-HJWXJ,2,Segment 2 — High-Value At-Risk
0621-JFHOL,0,Segment 0 — Emerging Risk
0621-TSSMU,1,Segment 1 — High-Value Stable
0621-TWIEM,0,Segment 0 — Emerging Risk
0623-EJQEG,2,Segment 2 — High-Value At-Risk
0623-GDISB,0,Segment 0 — Emerging Risk
0623-IIHUG,0,Segment 0 — Emerging Risk
0625-AFOHS,1,Segment 1 — High-Value Stable
0626-QXNGV,1,Segment 1 — High-Value Stable
0628-CNQRM,0,Segment 0 — Emerging Risk
0634-SZPQA,0,Segment 0 — Emerging Risk
0635-WKOLD,2,Segment 2 — High-Value At-Risk
0637-KVDLV,0,Segment 0 — Emerging Risk
0637-UBJRP,0,Segment 0 — Emerging Risk
0637-YLETY,0,Segment 0 — Emerging Risk
0639-TSIQW,2,Segment 2 — High-Value At-Risk
0640-YJTPY,1,Segment 1 — High-Value Stable
0641-EVBOJ,0,Segment 0 — Emerging Risk
0643-OKLRP,2,Segment 2 — High-Value At-Risk
0644-OQMDK,0,Segment 0 — Emerging Risk
0650-BWOZN,0,Segment 0 — Emerging Risk
0654-HMSHN,0,Segment 0 — Emerging Risk
0654-PQKDW,2,Segment 2 — High-Value At-Risk
0655-RBDUG,0,Segment 0 — Emerging Risk
0655-YDGFJ,0,Segment 0 — Emerging Risk
0657-DOGUM,2,Segment 2 — High-Value At-Risk
0661-KBKPA,2,Segment 2 — High-Value At-Risk
0661-KQHNK,1,Segment 1 — High-Value Stable
0661-WCQNQ,0,Segment 0 — Emerging Risk
0661-XEYAN,0,Segment 0 — Emerging Risk
0665-XHDJU,2,Segment 2 — High-Value At-Risk
0666-UXTJO,0,Segment 0 — Emerging Risk
0667-NSRGI,2,Segment 2 — High-Value At-Risk
0668-OGMHD,0,Segment 0 — Emerging Risk
0670-ANMUU,2,Segment 2 — High-Value At-Risk
0670-KDOMA,1,Segment 1 — High-Value Stable
0673-IGUQO,1,Segment 1 — High-Value Stable
0674-DGMAQ,2,Segment 2 — High-Value At-Risk
0674-EYYZV,0,Segment 0 — Emerging Risk
0674-GCDXG,2,Segment 2 — High-Value At-Risk
0675-NCDYU,2,Segment 2 — High-Value At-Risk
0678-RLHVP,2,Segment 2 — High-Value At-Risk
0679-IDSTG,0,Segment 0 — Emerging Risk
0679-TDGAK,2,Segment 2 — High-Value At-Risk
0680-DFNNY,0,Segment 0 — Emerging Risk
0682-USIXD,0,Segment 0 — Emerging Risk
0684-AOSIH,0,Segment 0 — Emerging Risk
0685-MLYYM,0,Segment 0 — Emerging Risk
0687-ZVTHB,2,Segment 2 — High-Value At-Risk
0689-DSXGL,2,Segment 2 — High-Value At-Risk
0689-NKYLF,0,Segment 0 — Emerging Risk
0690-SRQID,1,Segment 1 — High-Value Stable
0691-IFBQW,0,Segment 0 — Emerging Risk
0691-JVSYA,2,Segment 2 — High-Value At-Risk
0691-NIKRI,2,Segment 2 — High-Value At-Risk
0696-UKTOX,0,Segment 0 — Emerging Risk
0697-ZMSWS,0,Segment 0 — Emerging Risk
0699-NDKJM,0,Segment 0 — Emerging Risk
0701-RFGFI,2,Segment 2 — High-Value At-Risk
0701-TJSEF,0,Segment 0 — Emerging Risk
0702-PGIBZ,0,Segment 0 — Emerging Risk
0704-VCUMB,1,Segment 1 — High-Value Stable
0707-HOVVN,2,Segment 2 — High-Value At-Risk
0708-LGSMF,0,Segment 0 — Emerging Risk
0708-SJDIS,0,Segment 0 — Emerging Risk
0709-TVGUR,0,Segment 0 — Emerging Risk
0716-BQNDX,2,Segment 2 — High-Value At-Risk
0719-SYFRB,0,Segment 0 — Emerging Risk
0722-SVSFK,0,Segment 0 — Emerging Risk
0722-TROQR,0,Segment 0 — Emerging Risk
0723-DRCLG,0,Segment 0 — Emerging Risk
0723-FDLAY,2,Segment 2 — High-Value At-Risk
0723-VSOBE,0,Segment 0 — Emerging Risk
0725-CXOTM,2,Segment 2 — High-Value At-Risk
0727-BMPLR,2,Segment 2 — High-Value At-Risk
0727-BNRLG,2,Segment 2 — High-Value At-Risk
0727-IWKVK,0,Segment 0 — Emerging Risk
0730-BGQGF,2,Segment 2 — High-Value At-Risk
0730-KOAVE,0,Segment 0 — Emerging Risk
0731-EBJQB,1,Segment 1 — High-Value Stable
0732-OCQOC,1,Segment 1 — High-Value Stable
0733-VUNUW,0,Segment 0 — Emerging Risk
0734-OXWBT,0,Segment 0 — Emerging Risk
0739-UUAJR,2,Segment 2 — High-Value At-Risk
0742-LAFQK,2,Segment 2 — High-Value At-Risk
0742-MOABM,0,Segment 0 — Emerging Risk
0742-NXBGR,0,Segment 0 — Emerging Risk
0743-HNPFG,2,Segment 2 — High-Value At-Risk
0743-HRVFF,2,Segment 2 — High-Value At-Risk
0744-BIKKF,2,Segment 2 — High-Value At-Risk
0744-GKNGE,2,Segment 2 — High-Value At-Risk
0746-JTRFU,0,Segment 0 — Emerging Risk
0748-RDGGM,2,Segment 2 — High-Value At-Risk
0749-IRGQE,0,Segment 0 — Emerging Risk
0750-EBAIU,2,Segment 2 — High-Value At-Risk
0750-EKNGL,1,Segment 1 — High-Value Stable
0754-EEBDC,1,Segment 1 — High-Value Stable
0754-UKWQP,0,Segment 0 — Emerging Risk
0756-MPZRL,1,Segment 1 — High-Value Stable
0757-WCUUZ,2,Segment 2 — High-Value At-Risk
