customer_id,churn_label,predicted_churn_probability,predicted_churn,risk_band,cltv,total_revenue,monthly_charge,satisfaction_score,churn_score,contract,offer,payment_method,internet_type,premium_tech_support
5949-EBSQK,Yes,0.7843264109883652,1,High,2131,338.51,61.45,2,83,Month-to-Month,No Offer,Credit Card,DSL,Yes
2609-IAICY,Yes,0.9924785597807751,1,Very High,2756,114.85,77.15,3,79,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
7627-JKIAZ,Yes,0.46969080059684426,0,Moderate,3982,4226.78,78.95,3,90,Month-to-Month,No Offer,Credit Card,Fiber Optic,No
7315-WYOAW,No,0.463424563369637,0,Moderate,5985,2010.84,100.75,3,80,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,Yes
6925-BAYGL,No,0.05489994886224301,0,Low,5295,2284.19,25.1,3,70,Two Year,No Offer,Credit Card,No Internet Service,No
8079-XRJRS,Yes,0.6640640694106557,1,High,6110,8957.33,89.75,1,72,One Year,Offer B,Bank Withdrawal,Fiber Optic,No
6635-MYYYZ,Yes,0.7365004538129131,1,High,2313,3840.7,85.35,2,73,One Year,No Offer,Bank Withdrawal,Cable,Yes
5781-BKHOP,No,0.03369390001491416,0,Low,6380,10335.01,100.65,3,20,Two Year,Offer A,Bank Withdrawal,Fiber Optic,No
1142-IHLOO,No,0.07801438980155204,0,Low,6021,5208.77,87.55,4,57,One Year,Offer B,Credit Card,Fiber Optic,No
4588-YBNIB,Yes,0.9722580369949829,1,Very High,4205,24.96,19.6,2,91,Month-to-Month,Offer E,Credit Card,No Internet Service,No
5827-MWCZK,No,0.01647289696672423,0,Low,6484,6749.32,96.95,5,66,Month-to-Month,Offer B,Credit Card,Fiber Optic,Yes
6101-IMRMM,Yes,0.9478134429795085,1,Very High,3469,684.93,94.5,2,91,Month-to-Month,Offer E,Mailed Check,Fiber Optic,No
2798-NYLMZ,No,0.08561549288151823,0,Low,4111,9885.87,108.55,3,58,Two Year,Offer A,Credit Card,Fiber Optic,Yes
3213-VVOLG,No,0.00780583974415961,0,Low,2299,617.2,25.35,4,49,Two Year,No Offer,Credit Card,No Internet Service,No
7851-WZEKY,Yes,0.9990036876159448,1,Very High,2414,273.92,95.15,2,82,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
4942-VZZOM,No,0.030911662903620313,0,Low,4703,6789.94,66.15,3,25,One Year,Offer B,Credit Card,DSL,No
3530-VWVGU,No,0.05010574679385179,0,Low,5657,1489.52,19.9,4,43,Month-to-Month,Offer D,Credit Card,No Internet Service,No
5276-KQWHG,Yes,0.9819757695955588,1,Very High,4596,162.29,69.6,3,74,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
5593-SUAOO,No,0.008745712123020949,0,Low,2404,3027.85,83.15,5,53,One Year,No Offer,Bank Withdrawal,Fiber Optic,No
3597-YASZG,No,0.02662470118567303,0,Low,5004,10103.15,104.45,4,27,Two Year,Offer A,Bank Withdrawal,Fiber Optic,Yes
1930-BZLHI,No,0.010186733924726464,0,Low,3721,895.83,20.35,5,40,One Year,No Offer,Credit Card,No Internet Service,No
0577-WHMEV,No,0.2943253702071558,0,Low,4839,1820.18,90.7,3,73,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,No
4476-OSWTN,No,0.09231619429288303,0,Low,4887,8182.8,110.55,3,25,One Year,No Offer,Mailed Check,Fiber Optic,Yes
0952-KMEEH,Yes,0.906028938781857,1,Very High,5525,1313.93,98.15,1,91,Month-to-Month,No Offer,Mailed Check,Fiber Optic,No
5993-JSUWV,No,0.021439289785187037,0,Low,5133,5427.87,61.15,3,66,Two Year,No Offer,Bank Withdrawal,DSL,No
0036-IHMOT,No,0.00742394692101957,0,Low,5892,7603.95,103.7,3,65,One Year,No Offer,Bank Withdrawal,Fiber Optic,Yes
0388-EOPEX,Yes,0.9836525233148021,1,Very High,4263,158.98,74.4,1,77,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
4471-KXAUH,Yes,0.5154075417036696,1,Moderate,2514,4039.06,84.3,3,91,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,Yes
9053-EJUNL,No,0.06923617280142147,0,Low,3259,5359.39,89.2,5,77,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,No
2480-EJWYP,No,0.12586001920790513,0,Low,6019,8090.26,97.8,3,23,One Year,Offer B,Bank Withdrawal,Fiber Optic,No
1221-GHZEP,No,0.011703815565355734,0,Low,5172,5283.91,65.1,3,47,Two Year,No Offer,Credit Card,DSL,Yes
7426-WEIJX,No,0.022407623539233666,0,Low,6214,5903.37,80.95,4,71,Two Year,No Offer,Bank Withdrawal,Fiber Optic,No
2720-WGKHP,Yes,0.997571257841446,1,Very High,5569,223.68,94.0,1,93,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
3703-KBKZP,No,0.01926597298214066,0,Low,5111,1613.67,74.45,5,47,Two Year,Offer D,Bank Withdrawal,Fiber Optic,No
7277-KAMWT,No,0.051816761105125654,0,Low,3037,289.38,20.0,3,63,Two Year,Offer D,Credit Card,No Internet Service,No
1699-HPSBG,Yes,0.1516354719883699,0,Low,4581,843.0,59.8,3,69,One Year,Offer D,Bank Withdrawal,Cable,Yes
2188-SXWVT,No,0.012099347245639954,0,Low,4027,3352.93,55.0,4,46,One Year,Offer C,Credit Card,DSL,No
5590-ZSKRV,No,0.11074813703357433,0,Low,5614,792.49,54.65,3,43,Month-to-Month,Offer E,Credit Card,DSL,No
4489-SNOJF,Yes,0.6441814608810216,1,High,5898,3453.0,72.25,1,83,Month-to-Month,No Offer,Bank Withdrawal,DSL,Yes
2265-CYWIV,Yes,0.9481308966050735,1,Very High,4708,397.5,99.6,1,77,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
4143-OOBWZ,Yes,0.9785311731995396,1,Very High,3819,541.85,81.3,2,91,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
5229-PRWKT,Yes,0.6378014077613541,1,High,4193,847.73,86.55,3,80,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
6047-SUHPR,No,0.009771955230981129,0,Low,3093,3022.05,59.8,3,58,One Year,No Offer,Bank Withdrawal,DSL,No
6374-AFWOX,No,0.03289456191801314,0,Low,2680,5195.81,65.65,4,79,Two Year,No Offer,Credit Card,Cable,Yes
2207-OBZNX,Yes,0.8449860879268641,1,Very High,3736,595.48,51.0,1,90,Month-to-Month,No Offer,Mailed Check,Cable,No
7868-BGSZA,No,0.04509555806330918,0,Low,5888,5042.31,80.2,3,35,One Year,No Offer,Bank Withdrawal,DSL,No
5862-BRIXZ,No,0.020434539319507908,0,Low,2694,2893.4,60.75,4,36,Two Year,Offer B,Bank Withdrawal,DSL,Yes
5469-NUJUR,No,0.0036777384458589585,0,Low,2831,736.4,19.95,4,50,Two Year,No Offer,Credit Card,No Internet Service,No
4116-TZAQJ,Yes,0.8615050896435829,1,Very High,5393,764.39,74.25,1,76,Month-to-Month,No Offer,Credit Card,Fiber Optic,No
8871-JLMHM,No,0.03188252275408445,0,Low,4095,6529.53,90.2,4,55,Two Year,Offer A,Credit Card,Fiber Optic,Yes
2108-YKQTY,Yes,0.6053345750340592,1,High,4930,190.54,50.7,3,90,Month-to-Month,No Offer,Credit Card,DSL,No
8999-BOHSE,Yes,0.9645903686423365,1,Very High,2202,1091.26,89.7,2,89,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
2316-ESMLS,No,0.03746995113357046,0,Low,3882,444.75,33.15,3,74,One Year,No Offer,Credit Card,DSL,Yes
4030-VPZBD,Yes,0.9713163391202135,1,Very High,2860,59.05,30.9,2,91,Month-to-Month,No Offer,Bank Withdrawal,DSL,Yes
7690-KPNCU,No,0.05400905694228494,0,Low,4515,6393.61,73.05,3,28,One Year,Offer B,Credit Card,DSL,No
7251-XFOIL,No,0.2201311666868696,0,Low,5536,6386.32,89.2,3,23,Month-to-Month,Offer B,Credit Card,Fiber Optic,No
5914-GXMDA,No,0.02309118450914116,0,Low,5817,2041.52,19.3,5,66,One Year,No Offer,Credit Card,No Internet Service,No
4361-BKAXE,Yes,0.8432667952851888,1,Very High,3038,5411.41,114.5,1,80,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,Yes
5795-BKOYE,No,0.0,0,Low,5846,5133.82,59.1,4,71,One Year,Offer A,Bank Withdrawal,DSL,Yes
0259-GBZSH,Yes,0.9870442032989126,1,Very High,3878,262.36,85.65,1,73,Month-to-Month,Offer E,Bank Withdrawal,Cable,No
1216-BGTSP,No,0.13212931573839984,0,Low,5093,5233.35,108.45,3,33,Month-to-Month,No Offer,Credit Card,Fiber Optic,Yes
7580-UGXNC,Yes,0.980724804481691,1,Very High,3016,155.68,54.85,1,96,Month-to-Month,No Offer,Credit Card,DSL,No
4592-IWTJI,Yes,0.9189671836407008,1,Very High,2613,91.7,29.7,1,84,Month-to-Month,Offer E,Credit Card,Cable,No
8778-LMWTJ,No,0.15881189523540631,0,Low,5770,825.65,74.85,3,66,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
0923-PNFUB,Yes,0.9592881203764257,1,Very High,4852,386.33,83.75,2,65,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
1488-SYSFC,No,0.019187127861790988,0,Low,2990,954.65,20.65,4,79,Month-to-Month,No Offer,Bank Withdrawal,No Internet Service,No
2013-SGDXK,Yes,0.9955272347723652,1,Very High,2172,95.93,84.3,1,78,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
6296-DDOOR,No,0.07112320181652255,0,Low,4033,1507.9,58.2,4,73,One Year,No Offer,Bank Withdrawal,Cable,No
1552-TKMXS,No,0.11843088373944145,0,Low,2127,1119.8,20.35,3,69,Month-to-Month,Offer B,Credit Card,No Internet Service,No
8327-WKMIE,No,0.003560900805927304,0,Low,4422,2057.44,20.15,5,65,One Year,No Offer,Credit Card,No Internet Service,No
5537-UXXVS,No,0.11380624637813808,0,Low,4137,1335.85,19.25,3,68,Month-to-Month,Offer D,Bank Withdrawal,No Internet Service,No
0015-UOCOJ,No,0.0717791642507096,0,Low,5525,414.06,48.2,3,34,Two Year,Offer E,Bank Withdrawal,DSL,No
3034-ZBEQN,Yes,0.8063366275456798,1,Very High,5995,1604.5,34.7,2,90,One Year,No Offer,Mailed Check,DSL,No
4369-HTUIF,Yes,0.867578585667209,1,Very High,5831,680.06,85.15,2,90,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
6461-PPAXN,No,0.016110821457856448,0,Low,4858,3392.3,54.95,4,30,One Year,No Offer,Bank Withdrawal,Cable,Yes
6408-OTUBZ,No,0.08239840375871135,0,Low,4494,7860.79,104.55,3,53,One Year,Offer A,Bank Withdrawal,Fiber Optic,Yes
6663-JOCQO,No,0.01624431295580933,0,Low,4258,3243.37,75.25,3,43,One Year,No Offer,Bank Withdrawal,DSL,Yes
8992-VONJD,No,0.0969329440892061,0,Low,5156,1116.07,56.0,3,22,Month-to-Month,No Offer,Bank Withdrawal,DSL,No
0519-DRGTI,No,0.003930416638031118,0,Low,2522,1291.8,20.35,4,49,Month-to-Month,No Offer,Credit Card,No Internet Service,No
7240-FQLHE,Yes,0.9213459039618561,1,Very High,5857,2291.11,99.75,2,68,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,Yes
1545-JFUML,No,0.025234711521709304,0,Low,5295,10162.86,99.0,3,31,Two Year,No Offer,Bank Withdrawal,Fiber Optic,No
8380-MQINP,No,0.0023879086827293997,0,Low,5153,1253.95,20.3,5,36,Two Year,No Offer,Credit Card,No Internet Service,No
2829-HYVZP,No,0.011150927710559,0,Low,5696,1909.68,19.8,4,69,One Year,No Offer,Credit Card,No Internet Service,No
9102-OXKFY,No,0.125784995892857,0,Low,4293,6035.47,54.15,3,64,Two Year,Offer B,Credit Card,Cable,No
2162-FRZAA,No,0.005721242016062733,0,Low,5374,2395.05,39.35,5,24,Two Year,Offer B,Bank Withdrawal,DSL,Yes
5510-BOIUJ,Yes,0.9279926138208229,1,Very High,5437,32.06,19.25,3,80,Month-to-Month,No Offer,Credit Card,No Internet Service,No
3648-GZPHF,No,0.017731608882786545,0,Low,2609,1151.05,36.25,5,45,One Year,Offer C,Mailed Check,DSL,Yes
5644-PDMZC,Yes,0.9947449586885646,1,Very High,2065,256.44,89.5,2,80,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
2977-CEBSX,No,0.0078076546921704865,0,Low,5813,6842.43,90.05,4,74,Two Year,No Offer,Credit Card,DSL,Yes
4724-WXVWF,No,0.17464464299688132,0,Low,4334,4644.5,95.4,3,33,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,Yes
3655-SNQYZ,No,0.008804929994106475,0,Low,5141,10188.02,113.25,4,43,Two Year,Offer A,Credit Card,Fiber Optic,Yes
2226-ICFDO,No,0.00278250617147489,0,Low,6361,6893.39,85.9,4,72,Two Year,No Offer,Credit Card,DSL,Yes
1170-SASML,No,0.030209384861340123,0,Low,5976,8249.21,85.4,5,62,Month-to-Month,Offer A,Bank Withdrawal,Fiber Optic,No
7030-NJVDP,No,0.20435686662733193,0,Low,5436,2455.72,89.25,3,77,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,Yes
0191-ZHSKZ,No,0.1143365551014036,0,Low,3033,3269.6,74.75,4,55,One Year,No Offer,Bank Withdrawal,DSL,No
7693-LCKZL,Yes,0.8344106262690666,1,Very High,5124,442.7,80.15,1,84,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
0303-WMMRN,No,0.21609178900725348,0,Low,3056,191.1,19.25,3,27,Month-to-Month,No Offer,Credit Card,No Internet Service,No
8106-GWQOK,No,0.023776624934517952,0,Low,2187,2193.2,60.0,3,42,Two Year,No Offer,Bank Withdrawal,Cable,Yes
3791-LGQCY,Yes,0.9224498228375173,1,Very High,4803,7711.41,100.65,1,85,Month-to-Month,No Offer,Bank Withdrawal,Cable,No
1469-LBJQJ,No,0.060990976165277204,0,Low,4016,9724.03,105.2,4,20,Month-to-Month,Offer A,Bank Withdrawal,Fiber Optic,No
1429-UYJSV,No,0.02464568538501991,0,Low,3423,700.7,19.7,4,62,One Year,Offer D,Credit Card,No Internet Service,No
9898-KZQDZ,Yes,0.9441975297822036,1,Very High,5676,5620.45,94.55,1,95,Month-to-Month,No Offer,Credit Card,Fiber Optic,No
4277-BWBML,No,0.008653764899186999,0,Low,5092,1937.01,19.95,3,56,Two Year,Offer A,Bank Withdrawal,No Internet Service,No
9798-DRYDS,No,0.05313751613984381,0,Low,4759,1879.73,61.95,5,27,One Year,No Offer,Mailed Check,DSL,Yes
6861-OKBCE,Yes,0.6452047487484874,1,High,4500,585.01,20.1,2,95,Month-to-Month,Offer D,Credit Card,No Internet Service,No
2577-GVSIL,No,0.04669076616097983,0,Low,4719,3129.75,73.45,4,66,One Year,No Offer,Bank Withdrawal,DSL,Yes
1950-KSVVJ,No,0.231664579093432,0,Low,4885,6541.55,113.3,3,61,One Year,Offer B,Mailed Check,Fiber Optic,Yes
0491-KAPQG,No,0.1314930876433478,0,Low,2071,2158.04,73.7,5,39,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,No
1414-YADCW,No,0.03224872167614855,0,Low,5679,5781.1,84.6,3,39,Two Year,Offer A,Bank Withdrawal,Fiber Optic,Yes
5939-SXWHM,No,0.015389178509395895,0,Low,2111,2240.09,26.3,3,72,Two Year,Offer B,Bank Withdrawal,No Internet Service,No
0869-PAPRP,No,0.07528438531620907,0,Low,3935,3269.24,85.7,3,23,Two Year,No Offer,Credit Card,Fiber Optic,No
0164-APGRB,No,0.0697943821733124,0,Low,4589,11979.34,114.9,4,69,Two Year,Offer A,Bank Withdrawal,Fiber Optic,Yes
2812-REYAT,No,0.013631551388046247,0,Low,5579,2006.0,20.05,5,72,One Year,No Offer,Bank Withdrawal,No Internet Service,No
8125-QPFJD,No,0.0018602818011626762,0,Low,4447,6161.78,84.9,4,65,Two Year,No Offer,Bank Withdrawal,DSL,Yes
4009-ALQFH,Yes,0.38756510104198777,0,Moderate,5932,3560.05,99.5,3,90,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
9095-HFAFX,Yes,0.9553338271767674,1,Very High,3718,500.6,81.0,2,96,Month-to-Month,Offer E,Credit Card,Fiber Optic,No
1098-KFQEC,No,0.0018602818011626762,0,Low,5366,2609.25,19.4,5,23,Two Year,No Offer,Credit Card,No Internet Service,No
0018-NYROU,No,0.5876220455606863,1,Moderate,5536,444.75,68.95,3,57,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
5934-TSSAU,No,0.01734875574629135,0,Low,5903,2823.69,75.3,5,49,Month-to-Month,Offer D,Credit Card,Fiber Optic,No
0013-SMEOE,No,0.060339505087580535,0,Low,5011,8611.41,109.7,3,26,Two Year,Offer A,Bank Withdrawal,Fiber Optic,Yes
4840-ORQXB,No,0.13749435472102653,0,Low,5128,7352.67,104.75,3,35,Two Year,No Offer,Bank Withdrawal,Fiber Optic,No
7272-QDCKA,No,0.3329052283518148,0,Moderate,5137,2991.89,100.2,3,79,One Year,Offer C,Bank Withdrawal,Fiber Optic,No
4971-PUYQO,Yes,0.9280191518821391,1,Very High,4464,3024.03,94.55,2,89,Month-to-Month,No Offer,Mailed Check,Fiber Optic,No
5118-MUEYH,No,0.18830390330285016,0,Low,3109,6967.55,105.1,3,42,Month-to-Month,Offer B,Credit Card,Fiber Optic,Yes
9677-AVKED,No,0.026922313639567097,0,Low,4733,5220.37,84.6,5,60,One Year,No Offer,Bank Withdrawal,Cable,Yes
6726-NNFWD,No,0.022834899944540365,0,Low,6004,7589.71,89.45,4,72,Two Year,Offer A,Credit Card,Fiber Optic,No
9223-UCPVT,Yes,0.9891111217647138,1,Very High,5764,112.74,94.4,3,77,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
5277-ZLOOR,Yes,0.9677074349101121,1,Very High,5512,198.43,85.55,3,86,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
6425-YQLLO,Yes,0.7883038607438982,1,High,6117,8806.75,105.95,2,86,One Year,No Offer,Credit Card,Fiber Optic,Yes
7270-BDIOA,Yes,0.8964858438702266,1,Very High,4739,2261.98,90.0,2,95,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,Yes
7980-MHFLQ,No,0.0,0,Low,5192,3170.32,24.9,3,67,Two Year,Offer A,Credit Card,No Internet Service,No
1866-DIOQZ,No,0.02537441952260227,0,Low,4698,4689.15,66.8,4,42,One Year,No Offer,Bank Withdrawal,Cable,Yes
7932-WPTDS,Yes,0.983837584913169,1,Very High,5377,24.8,24.8,1,73,Month-to-Month,No Offer,Bank Withdrawal,DSL,No
4536-PLEQY,No,0.6630570977454274,1,High,2540,1535.0,85.05,3,80,Month-to-Month,Offer D,Credit Card,Fiber Optic,No
4134-BSXLX,No,0.05430224020138859,0,Low,3851,2593.73,60.9,3,76,Month-to-Month,Offer C,Mailed Check,Cable,Yes
3766-EJLFL,No,0.017945553805925708,0,Low,6391,8761.11,109.05,4,80,Two Year,No Offer,Bank Withdrawal,Fiber Optic,Yes
5597-GLBUC,Yes,1.0,1,Very High,4931,108.42,85.45,2,95,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
0719-SYFRB,Yes,0.820017006300178,1,Very High,5670,1148.63,61.65,1,67,Month-to-Month,Offer D,Mailed Check,DSL,Yes
8627-EHGIP,Yes,0.7427854889759014,1,High,3051,2375.4,53.95,2,91,One Year,Offer B,Credit Card,Cable,No
8623-ULFNQ,No,0.03152069445827137,0,Low,3225,1919.01,66.05,5,43,Two Year,No Offer,Bank Withdrawal,DSL,Yes
3097-IDVPU,No,0.03525430152561122,0,Low,5749,1210.38,50.1,5,76,Month-to-Month,Offer D,Credit Card,DSL,No
8619-IJNDK,No,0.004479238194512513,0,Low,4374,4827.31,64.05,4,71,Two Year,No Offer,Credit Card,DSL,Yes
9860-LISIZ,No,0.03047324190409548,0,Low,2864,1922.7,20.35,5,68,Month-to-Month,No Offer,Credit Card,No Internet Service,No
9689-PTNPG,Yes,0.9959705731712996,1,Very High,5055,232.61,80.25,1,80,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
2097-YVPKN,No,0.05127244033932111,0,Low,5707,1931.51,25.75,5,73,Two Year,No Offer,Credit Card,No Internet Service,No
9314-IJWSQ,No,0.17978752428580214,0,Low,2452,1576.02,84.8,3,80,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,No
6366-XIVKZ,No,0.03793256121908079,0,Low,5916,1326.4,63.15,3,46,Month-to-Month,No Offer,Credit Card,Cable,No
2642-DTVCO,Yes,0.8320543862996778,1,Very High,5095,886.12,85.05,3,74,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,No
0187-QSXOE,No,0.044492921231929626,0,Low,5711,899.24,89.0,4,36,Two Year,No Offer,Bank Withdrawal,Fiber Optic,No
2233-FAGXV,No,0.04081444237937269,0,Low,3181,165.75,24.3,5,20,Month-to-Month,No Offer,Credit Card,No Internet Service,No
6298-QDFNH,Yes,0.9600291934927736,1,Very High,4718,2152.53,79.35,1,68,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
9185-TQCVP,Yes,0.9506844926659528,1,Very High,4550,1398.92,85.15,2,91,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
6485-QXWWE,No,0.02429776430902544,0,Low,4535,1814.16,26.0,3,46,Two Year,Offer B,Bank Withdrawal,No Internet Service,No
3638-WEABW,No,0.14348443410296943,0,Low,6407,6345.94,59.9,3,53,Two Year,Offer B,Credit Card,Cable,Yes
4488-KQFDT,No,0.156044974947403,0,Low,4148,7364.84,103.95,4,59,One Year,Offer B,Bank Withdrawal,Fiber Optic,No
6682-VCIXC,No,0.07689372549132478,0,Low,5656,2151.6,51.25,3,43,One Year,Offer B,Bank Withdrawal,Cable,Yes
8218-FFJDS,No,0.007587496699144625,0,Low,6114,7164.15,86.4,3,27,Two Year,No Offer,Bank Withdrawal,DSL,Yes
8019-ENHXU,Yes,0.873079001360416,1,Very High,4624,5702.89,99.45,2,96,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,Yes
0708-LGSMF,No,0.21627953757201704,0,Low,2731,1088.41,65.85,3,44,Month-to-Month,Offer D,Bank Withdrawal,DSL,No
6680-WKXRZ,Yes,0.9280270337606449,1,Very High,2054,287.26,74.4,3,90,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
9647-ERGBE,Yes,0.9827794759932625,1,Very High,4664,4238.35,100.05,1,91,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
6258-NGCNG,No,0.06526519628782126,0,Low,5508,182.87,23.5,4,33,Month-to-Month,Offer E,Credit Card,No Internet Service,No
9705-IOVQQ,No,0.04520848548890754,0,Low,5177,6223.24,99.0,5,20,One Year,No Offer,Bank Withdrawal,Fiber Optic,No
6339-DKLMK,No,0.28097975604284947,0,Low,4959,389.95,31.65,3,49,Month-to-Month,Offer D,Bank Withdrawal,DSL,No
9408-SSNVZ,Yes,0.8963670374361008,1,Very High,2227,364.26,70.15,2,67,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
6379-RXJRQ,Yes,0.9766440879598923,1,Very High,2457,845.26,70.1,2,92,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
2446-BEGGB,Yes,0.8506489966720728,1,Very High,3330,844.7,98.25,3,83,Month-to-Month,No Offer,Bank Withdrawal,Fiber Optic,No
9975-GPKZU,No,0.006921897634364405,0,Low,2610,1209.32,19.75,4,56,Two Year,No Offer,Credit Card,No Internet Service,No
4641-FROLU,No,0.0023879086827293997,0,Low,4453,950.9,19.3,4,30,Two Year,Offer C,Credit Card,No Internet Service,No
4922-CVPDX,No,0.042444186214347056,0,Low,3596,2845.79,73.5,5,67,Two Year,Offer C,Credit Card,DSL,No
5448-VWNAM,No,0.0760666372751947,0,Low,4198,1527.98,75.9,4,69,Month-to-Month,Offer D,Credit Card,DSL,Yes
6137-NICCO,No,0.2219579948680932,0,Low,3083,766.49,94.05,3,59,Month-to-Month,No Offer,Credit Card,Fiber Optic,No
3525-DVKFN,No,0.02617717113870481,0,Low,3561,869.24,19.4,3,44,Two Year,Offer D,Credit Card,No Internet Service,No
4032-RMHCI,No,0.03338146701445253,0,Low,4375,1412.4,35.4,4,43,One Year,Offer B,Credit Card,Cable,No
