customer_id,customer_status,churn_label,churn_score,cltv,monthly_charge,total_revenue,satisfaction_score,contract,payment_method,offer,internet_type,premium_tech_support,gender,age,senior_citizen,state,city
0074-HDKDG,Stayed,No,66,3807,61.60,1727.35,3,One Year,Bank Withdrawal,No Offer,Cable,No,Male,46,No,California,San Jose
0076-LVEPS,Stayed,No,73,3290,45.00,1230.19,4,Month-to-Month,Credit Card,No Offer,DSL,Yes,Male,57,No,California,Tujunga
0078-XZMHT,Stayed,No,76,6322,85.15,8646.12,3,Two Year,Bank Withdrawal,No Offer,DSL,Yes,Male,19,No,California,Visalia
0080-EMYVY,Stayed,No,57,4298,51.45,1064.41,3,One Year,Credit Card,No Offer,Cable,No,Female,64,No,California,Lodi
0080-OROZO,Stayed,No,36,3244,99.25,4806.70,3,One Year,Bank Withdrawal,Offer C,Fiber Optic,Yes,Female,38,No,California,El Portal
0082-LDZUE,Joined,No,57,4427,44.30,87.25,5,Month-to-Month,Credit Card,Offer E,DSL,No,Male,54,No,California,Calistoga
0082-OQIQY,Stayed,No,60,4561,94.20,2687.05,5,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,Yes,Male,50,No,California,Farmington
0083-PIVIK,Stayed,No,67,4761,81.25,5958.91,3,One Year,Bank Withdrawal,No Offer,DSL,Yes,Male,25,No,California,Tulelake
0089-IIQKO,Stayed,No,43,4447,99.95,4718.22,3,Month-to-Month,Credit Card,No Offer,Fiber Optic,Yes,Female,35,No,California,Coleville
0093-EXYQL,Stayed,No,59,5742,91.55,5439.20,3,Two Year,Bank Withdrawal,No Offer,Fiber Optic,No,Female,72,Yes,California,Ojai
0093-XWZFY,Churned,Yes,93,2832,104.50,5544.45,1,Month-to-Month,Credit Card,No Offer,Fiber Optic,No,Male,51,No,California,Desert Hot Springs
0094-OIFMO,Churned,Yes,85,5980,95.00,1367.79,1,Month-to-Month,Bank Withdrawal,Offer D,Fiber Optic,No,Female,78,Yes,California,North Hollywood
0096-BXERS,Stayed,No,74,3442,50.35,570.51,3,Month-to-Month,Bank Withdrawal,Offer E,Cable,No,Female,30,No,California,Inverness
0096-FCPUF,Stayed,No,48,5039,64.50,1967.65,3,Month-to-Month,Mailed Check,No Offer,DSL,No,Male,58,No,California,Santa Rosa
0098-BOWSO,Stayed,No,39,3792,19.40,1087.62,5,Month-to-Month,Bank Withdrawal,No Offer,No Internet Service,No,Male,26,No,California,San Jose
0100-DUVFC,Stayed,No,57,5291,104.80,10067.14,5,One Year,Bank Withdrawal,No Offer,Fiber Optic,No,Male,66,Yes,California,Wilmington
0103-CSITQ,Stayed,No,65,6026,109.40,6709.27,5,One Year,Bank Withdrawal,Offer B,Fiber Optic,Yes,Female,20,No,California,Modesto
0104-PPXDV,Stayed,No,30,5232,50.30,3933.78,5,One Year,Credit Card,No Offer,DSL,No,Male,61,No,California,San Diego
0106-GHRQR,Stayed,No,39,3360,71.40,1623.46,5,Month-to-Month,Bank Withdrawal,No Offer,DSL,No,Male,24,No,California,Rancho Palos Verdes
0106-UGRDO,Stayed,No,37,4216,116.00,10840.73,3,Two Year,Bank Withdrawal,Offer A,Fiber Optic,Yes,Female,55,No,California,Kenwood
0107-WESLM,Churned,Yes,66,3874,19.85,51.62,2,Month-to-Month,Bank Withdrawal,Offer E,No Internet Service,No,Male,32,No,California,West Point
0107-YHINA,Churned,Yes,93,4214,99.75,140.46,1,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Male,59,No,California,Los Angeles
0111-KLBQG,Stayed,No,62,2844,93.95,3880.97,5,One Year,Mailed Check,Offer C,Fiber Optic,No,Male,71,Yes,California,Morongo Valley
0112-QAWRZ,Stayed,No,66,5560,90.80,2221.56,3,Month-to-Month,Bank Withdrawal,Offer D,Fiber Optic,No,Male,49,No,California,Palo Verde
0112-QWPNC,Churned,Yes,73,6452,84.35,5997.30,2,One Year,Bank Withdrawal,Offer B,Cable,Yes,Male,61,No,California,Valyermo
0114-IGABW,Stayed,No,76,5224,58.25,4145.90,5,Two Year,Bank Withdrawal,Offer A,Cable,Yes,Female,40,No,California,Cambria
0114-PEGZZ,Stayed,No,33,4800,107.55,5285.27,3,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Female,39,No,California,Round Mountain
0114-RSRRW,Stayed,No,54,3831,19.95,683.75,4,Month-to-Month,Bank Withdrawal,Offer D,No Internet Service,No,Female,21,No,California,Klamath
0115-TFERT,Churned,Yes,89,4123,111.20,3198.56,3,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,Yes,Male,24,No,California,Fresno
0117-LFRMW,Churned,Yes,80,3627,40.20,1448.80,2,Month-to-Month,Bank Withdrawal,No Offer,DSL,No,Male,52,No,California,Angwin
0118-JPNOY,Stayed,No,46,5700,85.80,3070.89,3,Month-to-Month,Credit Card,No Offer,Fiber Optic,No,Female,71,Yes,California,Le Grand
0121-SNYRK,Stayed,No,36,5052,35.40,1748.90,3,One Year,Credit Card,Offer B,DSL,Yes,Male,45,No,California,Redway
0122-OAHPZ,Churned,Yes,67,2473,73.85,698.56,3,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Female,29,No,California,San Diego
0123-CRBRT,Stayed,No,40,5152,88.10,8405.34,4,Two Year,Mailed Check,Offer B,DSL,Yes,Female,62,No,California,Monterey Park
0125-LZQXK,Churned,Yes,91,3025,101.35,2242.75,2,Month-to-Month,Bank Withdrawal,Offer D,Fiber Optic,Yes,Male,42,No,California,Big Oak Flat
0128-MKWSG,Stayed,No,45,3287,45.80,1147.00,4,Month-to-Month,Credit Card,No Offer,DSL,Yes,Female,51,No,California,Stevenson Ranch
0129-KPTWJ,Stayed,No,20,5943,94.65,9139.19,3,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Male,39,No,California,North Highlands
0129-QMPDR,Stayed,No,59,3093,20.50,2070.65,3,One Year,Bank Withdrawal,No Offer,No Internet Service,No,Male,64,No,California,La Puente
0130-SXOUN,Stayed,No,49,4889,89.40,9200.36,3,Month-to-Month,Credit Card,Offer A,Fiber Optic,No,Male,55,No,California,Glenhaven
0133-BMFZO,Churned,Yes,94,3529,86.25,255.27,2,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,Yes,Female,40,No,California,Alhambra
0134-XWXCE,Stayed,No,71,3253,74.85,3589.82,5,One Year,Bank Withdrawal,No Offer,DSL,Yes,Female,76,Yes,California,Santa Monica
0135-NMXAP,Churned,Yes,90,5671,89.75,1224.96,3,Month-to-Month,Bank Withdrawal,Offer D,Fiber Optic,No,Female,57,No,California,Lodi
0136-IFMYD,Stayed,No,63,4297,109.95,8904.54,5,Two Year,Bank Withdrawal,No Offer,Fiber Optic,Yes,Male,71,Yes,California,Los Angeles
0137-OCGAB,Churned,Yes,90,3056,80.20,81.43,3,Month-to-Month,Mailed Check,Offer E,Fiber Optic,No,Female,25,No,California,Fairfield
0137-UDEUO,Churned,Yes,95,3398,19.85,141.00,1,Month-to-Month,Credit Card,Offer E,No Internet Service,No,Female,24,No,California,Stockton
0139-IVFJG,Joined,No,29,5361,90.35,199.80,3,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Female,19,No,California,Temecula
0141-YEAYS,Stayed,No,77,5990,86.45,2481.24,4,Two Year,Bank Withdrawal,No Offer,Fiber Optic,No,Female,77,Yes,California,Fallbrook
0142-GVYSN,Stayed,No,68,5712,20.30,858.09,5,Month-to-Month,Bank Withdrawal,Offer C,No Internet Service,No,Male,57,No,California,Randsburg
0147-ESWWR,Stayed,No,77,3172,101.25,4735.00,4,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,Yes,Female,73,Yes,California,Atascadero
0148-DCDOS,Churned,Yes,82,5641,94.70,3234.10,1,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Male,41,No,California,Planada
0151-ONTOV,Churned,Yes,78,4739,70.90,110.71,1,Month-to-Month,Mailed Check,Offer E,Fiber Optic,No,Female,43,No,California,Moorpark
0156-FVPTA,Churned,Yes,87,5102,54.20,1751.98,2,Month-to-Month,Bank Withdrawal,Offer D,DSL,Yes,Male,48,No,California,Solvang
0164-APGRB,Stayed,No,69,4589,114.90,11979.34,4,Two Year,Bank Withdrawal,Offer A,Fiber Optic,Yes,Female,56,No,California,Calistoga
0164-XAIRP,Stayed,No,34,2511,19.55,725.56,5,Two Year,Bank Withdrawal,No Offer,No Internet Service,No,Female,51,No,California,La Mirada
0168-XZKBB,Stayed,No,64,5072,86.85,1713.36,5,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Female,34,No,California,Boron
0174-QRVVY,Stayed,No,68,5747,25.35,2500.75,5,Two Year,Credit Card,No Offer,No Internet Service,No,Male,21,No,California,San Marcos
0177-PXBAT,Stayed,No,59,5655,109.90,4524.65,3,One Year,Bank Withdrawal,No Offer,Fiber Optic,Yes,Male,78,Yes,California,Desert Center
0178-CIIKR,Joined,No,74,5949,19.95,66.07,3,Month-to-Month,Credit Card,No Offer,No Internet Service,No,Female,60,No,California,Crows Landing
0178-SZBHO,Stayed,No,76,3760,87.20,4068.68,3,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Male,54,No,California,Tuolumne
0181-RITDD,Stayed,No,43,5298,108.15,6934.77,4,Two Year,Credit Card,No Offer,Fiber Optic,Yes,Male,42,No,California,San Diego
0186-CAERR,Stayed,No,59,4644,116.30,8514.03,4,One Year,Bank Withdrawal,No Offer,Fiber Optic,Yes,Male,22,No,California,Auburn
0187-QSXOE,Stayed,No,36,5711,89.00,899.24,4,Two Year,Bank Withdrawal,No Offer,Fiber Optic,No,Male,71,Yes,California,Fresno
0187-WZNAB,Stayed,No,57,4331,74.40,3232.17,3,Month-to-Month,Credit Card,Offer C,Fiber Optic,No,Female,56,No,California,Del Rey
0188-GWFLE,Joined,No,59,4978,20.05,37.32,3,Month-to-Month,Credit Card,No Offer,No Internet Service,No,Male,33,No,California,Redwood City
0191-EQUUH,Stayed,No,69,2754,35.05,844.45,4,Two Year,Bank Withdrawal,Offer C,Cable,Yes,Female,32,No,California,Landers
0191-ZHSKZ,Stayed,No,55,3033,74.75,3269.60,4,One Year,Bank Withdrawal,No Offer,DSL,No,Male,80,Yes,California,Hawthorne
0193-ESZXP,Churned,Yes,91,5067,105.50,7188.02,1,One Year,Credit Card,No Offer,Fiber Optic,Yes,Female,73,Yes,California,Oceano
0195-IESCP,Churned,Yes,75,3573,85.25,975.50,3,Month-to-Month,Bank Withdrawal,Offer D,Fiber Optic,No,Male,26,No,California,Armona
0196-JTUQI,Stayed,No,68,5841,75.20,717.28,5,Month-to-Month,Credit Card,No Offer,Fiber Optic,No,Female,59,No,California,Clarksburg
0196-VULGZ,Churned,Yes,77,5721,84.35,647.16,3,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Female,78,Yes,California,Irvine
0197-PNKNK,Stayed,No,49,5629,84.45,8574.08,3,One Year,Bank Withdrawal,No Offer,Fiber Optic,No,Female,47,No,California,Scotts Valley
0201-MIBOL,Stayed,No,69,4861,102.40,7161.55,3,Two Year,Bank Withdrawal,No Offer,Fiber Optic,No,Female,68,Yes,California,Salida
0201-OAMXR,Churned,Yes,87,4838,115.55,8842.30,1,One Year,Credit Card,Offer A,Fiber Optic,Yes,Female,30,No,California,Mckinleyville
0203-HHYIJ,Churned,Yes,79,3779,25.30,815.60,3,One Year,Bank Withdrawal,Offer C,No Internet Service,No,Male,62,No,California,Atherton
0206-OYVOC,Stayed,No,77,5596,19.25,1983.38,5,Two Year,Credit Card,Offer B,No Internet Service,No,Female,52,No,California,Huntington Beach
0206-TBWLC,Stayed,No,67,4488,114.65,6665.10,4,One Year,Credit Card,Offer B,Fiber Optic,Yes,Female,63,No,California,Calimesa
0207-MDKNV,Churned,Yes,84,2122,105.10,1918.60,1,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,Yes,Female,54,No,California,Daly City
0208-BPQEJ,Stayed,No,29,3713,19.40,297.10,3,Month-to-Month,Bank Withdrawal,Offer D,No Internet Service,No,Female,48,No,California,Middletown
0212-ISBBF,Stayed,No,73,2875,50.35,1098.85,3,Month-to-Month,Bank Withdrawal,No Offer,Cable,No,Female,51,No,California,Berkeley
0214-JHPFW,Stayed,No,42,5640,57.80,4038.29,4,Two Year,Bank Withdrawal,No Offer,Cable,Yes,Female,22,No,California,Lost Hills
0215-BQKGS,Stayed,No,66,5393,84.30,3310.50,4,Month-to-Month,Credit Card,Offer C,Fiber Optic,No,Male,52,No,California,Garden Grove
0218-QNVAS,Stayed,No,37,5876,100.55,9108.90,5,One Year,Bank Withdrawal,Offer A,Fiber Optic,No,Male,22,No,California,Indio
0219-QAERP,Stayed,No,74,4006,19.80,870.95,5,One Year,Credit Card,No Offer,No Internet Service,No,Male,33,No,California,Oxnard
0219-YTZUE,Churned,Yes,73,4939,84.80,486.98,3,Month-to-Month,Bank Withdrawal,Offer E,Fiber Optic,No,Male,26,No,California,San Diego
0220-EBGCE,Churned,Yes,67,3273,85.85,195.58,1,Month-to-Month,Bank Withdrawal,Offer E,Fiber Optic,No,Male,58,No,California,Escondido
0221-NAUXK,Stayed,No,48,3044,19.95,298.10,5,One Year,Bank Withdrawal,No Offer,No Internet Service,No,Male,22,No,California,Moreno Valley
0221-WMXNQ,Stayed,No,40,4033,75.35,419.00,3,One Year,Bank Withdrawal,Offer E,Fiber Optic,No,Male,66,Yes,California,Chino
0222-CNVPT,Stayed,No,67,4865,48.80,2555.05,3,Two Year,Credit Card,Offer B,DSL,No,Male,69,Yes,California,Sacramento
0224-HJAPT,Churned,Yes,82,2857,47.15,333.20,2,Month-to-Month,Bank Withdrawal,No Offer,Cable,No,Male,25,No,California,San Diego
0224-NIJLP,Stayed,No,32,3899,20.15,188.46,4,Two Year,Credit Card,Offer E,No Internet Service,No,Male,30,No,California,Turlock
0224-RLWWD,Joined,No,44,3805,44.30,137.12,3,One Year,Bank Withdrawal,Offer E,Cable,No,Female,73,Yes,California,Calexico
0225-ZORZP,Joined,No,43,5828,84.30,276.21,5,Month-to-Month,Bank Withdrawal,Offer E,Fiber Optic,No,Male,46,No,California,Groveland
0228-MAUWC,Stayed,No,39,3949,59.55,1369.75,4,Month-to-Month,Bank Withdrawal,Offer D,DSL,Yes,Male,40,No,California,Los Gatos
0229-LFJAF,Stayed,No,32,4262,69.65,5171.77,5,Two Year,Bank Withdrawal,Offer A,DSL,Yes,Male,53,No,California,Clovis
0230-UBYPQ,Stayed,No,48,5089,36.10,2298.90,3,One Year,Bank Withdrawal,Offer B,DSL,Yes,Male,76,Yes,California,Hyampom
0230-WEQUW,Stayed,No,77,5500,56.60,3789.20,4,Two Year,Bank Withdrawal,No Offer,DSL,Yes,Male,38,No,California,Woodland Hills
0231-LXVAP,Churned,Yes,66,3389,75.90,120.46,3,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,Yes,Male,23,No,California,Temecula
0233-FTHAV,Stayed,No,49,5687,79.20,5682.40,3,One Year,Bank Withdrawal,No Offer,Fiber Optic,No,Female,24,No,California,Livingston
0234-TEVTT,Stayed,No,21,5269,45.00,2196.30,3,One Year,Credit Card,No Offer,DSL,No,Female,43,No,California,Tulare
0235-KGSLC,Churned,Yes,86,3967,85.55,118.89,2,Month-to-Month,Credit Card,Offer E,Fiber Optic,No,Female,45,No,California,Buellton
0236-HFWSV,Churned,Yes,77,5264,93.35,2178.60,1,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Male,49,No,California,Palmdale
0237-YFUTL,Stayed,No,21,4676,109.65,7134.30,3,Month-to-Month,Bank Withdrawal,Offer B,Fiber Optic,Yes,Female,62,No,California,Midway City
0238-WHBIQ,Stayed,No,50,4193,89.70,8769.30,3,Two Year,Credit Card,Offer A,Cable,Yes,Male,25,No,California,Folsom
0239-OXEXL,Stayed,No,49,3509,84.25,5938.02,4,Month-to-Month,Credit Card,No Offer,Fiber Optic,No,Female,37,No,California,Oakland
0244-LGNFY,Stayed,No,75,6342,92.65,8893.00,4,Two Year,Bank Withdrawal,No Offer,DSL,Yes,Female,35,No,California,San Anselmo
0247-SLUJI,Joined,No,43,2004,19.70,53.98,5,Month-to-Month,Credit Card,No Offer,No Internet Service,No,Male,37,No,California,Duarte
0248-IPDFW,Joined,No,57,5617,50.10,79.23,4,Month-to-Month,Bank Withdrawal,No Offer,Cable,No,Female,19,No,California,Lake Elsinore
0248-PGHBZ,Stayed,No,80,5857,92.45,6313.04,4,Two Year,Bank Withdrawal,Offer A,Fiber Optic,Yes,Female,69,Yes,California,San Clemente
0253-ZTEOB,Stayed,No,50,3246,79.65,4299.42,4,Two Year,Bank Withdrawal,No Offer,DSL,Yes,Female,44,No,California,Los Angeles
0254-FNMCI,Stayed,No,37,5234,109.90,10641.72,4,Two Year,Bank Withdrawal,No Offer,Fiber Optic,Yes,Female,19,No,California,Downey
0254-KCJGT,Stayed,No,64,4628,81.40,6504.13,4,One Year,Credit Card,Offer B,Cable,Yes,Male,64,No,California,Bodega Bay
0254-WWRKD,Stayed,No,51,5122,50.55,6574.05,5,One Year,Credit Card,Offer A,Cable,No,Female,44,No,California,Challenge
0256-LTHVJ,Churned,Yes,91,5201,81.05,2698.90,1,Month-to-Month,Bank Withdrawal,Offer C,Fiber Optic,No,Female,58,No,California,Ludlow
0257-KXZGU,Stayed,No,74,5442,62.45,3110.51,3,Month-to-Month,Bank Withdrawal,Offer C,DSL,No,Female,29,No,California,Santa Clara
0257-ZESQC,Churned,Yes,91,4517,75.20,2118.89,1,Month-to-Month,Bank Withdrawal,No Offer,Cable,No,Female,80,Yes,California,Perris
0258-NOKBL,Joined,No,61,5625,90.40,362.89,5,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Male,22,No,California,Fortuna
0259-GBZSH,Churned,Yes,73,3878,85.65,262.36,1,Month-to-Month,Bank Withdrawal,Offer E,Cable,No,Male,22,No,California,San Diego
0260-ZDLGK,Churned,Yes,65,3585,72.90,970.81,1,Month-to-Month,Credit Card,No Offer,Cable,Yes,Female,50,No,California,San Dimas
0263-FJTQO,Stayed,No,60,4022,70.50,5711.15,4,Two Year,Credit Card,Offer B,Cable,Yes,Male,53,No,California,Rescue
0264-CNITK,Stayed,No,23,5043,20.10,3592.73,3,Two Year,Bank Withdrawal,No Offer,No Internet Service,No,Female,45,No,California,Clio
0265-EDXBD,Churned,Yes,69,4105,74.90,3818.23,2,Month-to-Month,Bank Withdrawal,Offer C,Fiber Optic,No,Male,76,Yes,California,San Diego
0265-PSUAE,Stayed,No,72,3337,100.70,1959.02,4,Month-to-Month,Bank Withdrawal,Offer D,Fiber Optic,No,Female,57,No,California,Lotus
0266-CLZKZ,Stayed,No,59,6383,105.65,7909.83,5,Two Year,Bank Withdrawal,Offer A,Fiber Optic,Yes,Female,45,No,California,San Marcos
0266-GMEAO,Stayed,No,70,5879,114.30,9206.23,3,Two Year,Credit Card,No Offer,Fiber Optic,Yes,Male,43,No,California,Lompoc
0268-QKIWO,Churned,Yes,83,2647,19.75,132.74,3,Month-to-Month,Bank Withdrawal,Offer E,No Internet Service,No,Female,41,No,California,Pilot Hill
0269-XFESX,Stayed,No,30,4031,24.35,1642.96,5,One Year,Credit Card,No Offer,No Internet Service,No,Male,22,No,California,San Francisco
0270-THENM,Stayed,No,77,6233,69.85,7119.75,3,Two Year,Bank Withdrawal,No Offer,DSL,Yes,Male,62,No,California,Mission Hills
0274-JKUJR,Stayed,No,76,3332,58.85,465.70,3,Month-to-Month,Credit Card,Offer E,Cable,No,Male,21,No,California,Los Angeles
0277-BKSQP,Stayed,No,62,4854,54.40,487.58,4,Month-to-Month,Bank Withdrawal,Offer E,DSL,No,Male,49,No,California,Harbor City
0277-ORXQS,Stayed,No,30,4652,50.55,3474.55,4,Two Year,Bank Withdrawal,Offer A,Cable,Yes,Male,33,No,California,San Francisco
0278-YXOOG,Churned,Yes,66,2604,21.05,285.15,3,Month-to-Month,Credit Card,Offer E,No Internet Service,No,Male,30,No,California,Inglewood
0280-XJGEX,Churned,Yes,89,5340,103.70,7208.47,1,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Male,38,No,California,Los Angeles
0281-CNTZX,Stayed,No,74,5151,19.95,3651.48,3,Two Year,Bank Withdrawal,Offer B,No Internet Service,No,Male,56,No,California,Pescadero
0282-NVSJS,Stayed,No,75,3353,29.30,355.90,4,Month-to-Month,Mailed Check,Offer D,DSL,Yes,Female,70,Yes,California,Aromas
0285-INHLN,Stayed,No,41,3519,54.75,2487.43,3,Month-to-Month,Credit Card,No Offer,DSL,No,Male,54,No,California,Badger
0289-IVARM,Stayed,No,34,3463,60.55,3550.95,4,Month-to-Month,Bank Withdrawal,No Offer,DSL,No,Female,57,No,California,Parlier
0292-WEGCH,Stayed,No,45,6275,86.20,4757.87,3,Month-to-Month,Bank Withdrawal,Offer B,DSL,Yes,Female,40,No,California,Death Valley
0295-PPHDO,Churned,Yes,71,5962,95.45,101.04,1,Month-to-Month,Bank Withdrawal,No Offer,Fiber Optic,No,Male,56,No,California,La Puente
